qid,fold,gold_count,dense_best_rank,bm25_best_rank,union_recall_100,union_expanded_recall_100,all_golds_over_512,question
86666,fold_0,1,3,26,1.0,1.0,0,Thời hạn cấp đăng ký xe máy của người nước ngoài làm việc tại Việt Nam là bao lâu?
145746,fold_3,1,3,1,1.0,1.0,0,Để ban hành quyết định thanh tra chuyên ngành về đóng bảo hiểm xã hội cần thu thập thông tin như thế nào?
138580,fold_3,1,5,4,1.0,1.0,0,Kiểm toán tính hiệu lực khi thực hiện kiểm toán Chương trình mục tiêu Quốc gia có những sai sót và gian lận thường gặp nào?
5726,fold_1,1,19,51,1.0,1.0,0,"Năm 2023, người lao động có bao nhiêu ngày nghỉ lễ, tết?"
79386,fold_1,1,3,3,1.0,1.0,0,"Những tình tiết giảm nhẹ, tăng nặng mức kỷ luật đảng ra sao?"
61600,fold_1,1,1,>100,1.0,1.0,0,Tần suất thử nghiệm định kỳ các thông số chất lượng nước sạch sử dụng cho mục đích sinh hoạt nhóm A như thế nào?
46440,fold_1,1,62,9,1.0,1.0,0,Công chức cấp huyện được bổ nhiệm giữ chức vụ lãnh đạo cần đáp ứng yêu cầu gì về độ tuổi?
44926,fold_4,1,3,>100,1.0,1.0,0,Đối tượng nào được áp dụng quy định về hợp đồng đối với một số công việc lao động cơ quan nhà nước?
83864,fold_3,1,3,11,1.0,1.0,0,Người khiếu nại các hành vi của người tiến hành tố tụng có quyền và nghĩa vụ gì?
128440,fold_4,1,2,70,1.0,1.0,0,Tất cả các dự án do nhà đầu tư đề xuất được phê duyệt bắt buộc phải công bố thông tin theo quy định đúng không?
155554,fold_0,1,1,4,1.0,1.0,0,Trình tự xây dựng quy hoạch đất làm muối được pháp luật quy định như thế nào?
39562,fold_3,1,3,2,1.0,1.0,0,Ai có quyền cấp Giấy chứng nhận đăng ký chương trình dự án tài chính vi mô?
149166,fold_1,2,1,4,1.0,1.0,0,Lệ phí làm căn cước công dân
163928,fold_3,1,17,9,1.0,1.0,0,Việc bãi nhiệm đại biểu Quốc hội được thông qua khi nào?
161842,fold_1,1,5,>100,1.0,1.0,0,Sửa đổi hợp đồng lao động được quy định như thế nào?
30006,fold_0,1,2,3,1.0,1.0,0,Hồ sơ đề nghị thanh lý tài sản kết cấu hạ tầng cấp nước sạch cần những giấy tờ gì?
63126,fold_4,1,1,1,1.0,1.0,0,Tập thông báo tin tức hàng không được viết tắt như thế nào?
165188,fold_2,1,2,1,1.0,1.0,0,Trả thưởng biến đổi được Công ty Xổ số kiến thiết Thủ Đô áp dụng cho loại hình sản phẩm nào?
151910,fold_0,1,37,>100,1.0,1.0,0,Hạn chót nộp hồ sơ dự tuyển là khi nào? Nộp hồ sơ dự tuyển tại đâu?
5948,fold_2,1,14,20,1.0,1.0,0,Người chưa giải quyết xong tranh chấp đất đai có bị tạm hoãn xuất cảnh không?
159692,fold_4,1,67,11,1.0,1.0,0,"Thang lương, bảng lương và phụ cấp lương là bao nhiêu?"
69038,fold_3,1,15,3,1.0,1.0,0,"Các bộ, ngành trong việc phối hợp kết nối, chia sẻ thông tin, dữ liệu giữa các cơ sở dữ liệu tài nguyên và môi trường có trách nhiệm gì?"
21950,fold_3,1,3,1,1.0,1.0,0,"Mức thu, tỷ lệ trích phí thẩm định hồ sơ cấp giấy chứng nhận quyền sử dụng đất trên địa bàn tỉnh Thái Nguyên là bao nhiều?"
122170,fold_0,1,7,9,1.0,1.0,0,Thời gian đánh giá hồ sơ dự thầu tối đa là bao nhiêu ngày?
146164,fold_2,1,2,10,1.0,1.0,0,"Văn phòng Bộ thuộc Bộ Tư pháp có nhiệm vụ và quyền hạn gì về công tác truyền thông và quản lý báo chí, xuất bản?"
45572,fold_1,1,76,3,1.0,1.0,0,Sĩ quan phạm tội bỏ vị trí chiến đấu đã chấp hành xong hình phạt tù thì đương nhiên được xóa án tích khi nào?
51110,fold_2,1,18,7,1.0,1.0,0,Thủ tục tiến hành chấm phúc khảo trong kỳ thi tốt nghiệp THPT năm 2023 được thực hiện như thế nào?
63534,fold_2,1,3,1,1.0,1.0,0,Cơ quan nào có thẩm quyền thực hiện việc xét nghiệm chất ma túy trong cơ thể của người sử dụng trái phép chất ma túy trong thời hạn quản lý?
90690,fold_2,1,1,1,1.0,1.0,0,Có được giữ quốc tịch nước ngoài khi trở lại quốc tịch Việt Nam không?
88192,fold_2,1,5,1,1.0,1.0,0,Cấp đổi giấy phép kinh doanh lữ hành được quy định như thế nào?
107742,fold_2,1,1,25,1.0,1.0,0,Người giám định tư pháp xây dựng theo vụ việc phải đáp ứng các điều kiện tiêu chuẩn thế nào?
142494,fold_4,1,4,53,1.0,1.0,0,Nơi khám chữa bệnh ban đầu ở tuyến trung ương nhưng xuống bệnh viện tuyến tỉnh để khám chữa bệnh là trái tuyến hay đúng tuyến?
41736,fold_3,1,1,3,1.0,1.0,0,Tiêu chí chung về kết quả thực hiện chức trách nhiệm vụ được giao để đánh giá xếp loại chất lượng viên chức quản lý thuộc Ủy ban Dân tộc gồm những gì?
117242,fold_2,1,9,26,1.0,1.0,0,"Giám sát, điều phối giao thông hàng hải hạng 4 có bắt buộc phải có bằng đại học hay không?"
34146,fold_4,1,1,49,1.0,1.0,0,Phụ cấp độc hại nguy hiểm đối với cán bộ công chức được quy định như thế nào?
76922,fold_4,2,4,9,1.0,1.0,0,Có phải chỉ khởi tố vụ án hình sự theo yêu cầu của bị hại về tội cưỡng dâm hay không?
