qid,question,archetype,word_count,active_cues,source_disagreement_at5,source_top5_union_size,ce_margin5_minus6,ce_score_std,rank_to_primary_set_churn,entering,leaving,rank_only_top5,blend015_top5,primary_top5,ce_only_top5,primary_top5_names,primary_support5,primary_support10,primary_support20
105332,Người ứng cử được đại biểu Quốc hội giới thiệu phải chuẩn bị hồ sơ nhân sự như thế nào?,PROCEDURE,20,,0.6791005291005291,14,0.0,3.9380156993865967,1,2933,101494,14244|280226|166947|4736|101494,14244|166947|4736|280226|101494,14244|166947|280226|4736|2933,166947|4736|14244|61383|193815,Nghi-quyet-31-2023-UBTVQH15-huong-dan-mot-so-dieu-khoan-cua-Noi-quy-ky-hop-Quoc-hoi-560208 || Nghi-quyet-71-2022-QH15-Noi-quy-ky-hop-Quoc-hoi-295408 || Luat-Bau-cu-dai-bieu-Quoc-hoi-va-dai-bieu-Hoi-dong-nhan-dan-2015-282376 || Nghi-quyet-102-2015-QH13-ban-hanh-noi-quy-ky-hop-Quoc-hoi-298382 || Huong-dan-66-HD-TWDTN-BTC-2021-tien-toi-Dai-hoi-dai-bieu-Doan-Thanh-nien-cong-san-Ho-Chi-Minh-505390,5|4|5|3|2,5|4|5|3|3,5|5|6|4|4
121272,Việc lập và điều chỉnh tăng giá điện được dựa trên những căn cứ nào?,GENERAL_SEMANTIC,15,CROSSREF,0.7555555555555555,17,0.0,3.551351308822632,1,217143,131639,148098|238125|236157|48456|131639,148098|238125|236157|48456|131639,148098|238125|236157|48456|217143,148098|270152|57792|238125|213187,Luat-Dien-Luc-2004-28-2004-QH11-18056 || Quyet-dinh-24-2017-QD-TTg-co-che-dieu-chinh-muc-gia-ban-le-dien-binh-quan-353584 || Quyet-dinh-28-2014-QD-TTg-co-cau-bieu-gia-ban-le-dien-225738 || Thong-tu-18-2020-TT-BCT-hop-dong-mua-ban-dien-mau-ap-dung-cho-du-an-dien-mat-troi-448189 || Thong-tu-02-2019-TT-BCT-phat-trien-du-an-dien-gio-Hop-dong-mua-ban-dien-mau-cho-du-an-dien-gio-40494,5|5|1|2|2,5|5|4|2|2,5|5|5|2|2
129780,Quyền yêu cầu giải quyết ly hôn khi chồng không thừa nhận con,PROCEDURE,13,NEGATION|HYPOTHETICAL,0.48703703703703705,9,0.0,2.7718372344970703,0,,,134404|204578|46918|258410|176583,134404|204578|258410|46918|176583,134404|204578|258410|46918|176583,204578|134404|132797|249204|258410,Luat-Hon-nhan-va-gia-dinh-2014-238640 ||  || Nghi-quyet-02-2000-NQ-HDTP-huong-dan-ap-dung-quy-dinh-Luat-Hon-nhan-va-gia-dinh-nam-2000-47272 || Bo-luat-to-tung-dan-su-2015-296861 || Thong-tu-lien-tich-01-2016-TTLT-TANDTC-VKSNDTC-BTP-huong-dan-thi-hanh-Luat-hon-nhan-gia-dinh-293202,6|5|4|5|4,6|5|5|5|6,6|6|5|6|6
134740,"Trình tự, thủ tục tăng vốn điều lệ của công ty chứng khoán được quy định như thế nào?",PROCEDURE,19,,0.6880952380952381,13,0.0,2.940197467803955,1,133938,159107,165780|17396|54752|177687|159107,165780|17396|177687|54752|133938,165780|17396|177687|54752|133938,165780|14350|17396|88170|177687,Nghi-dinh-155-2020-ND-CP-huong-dan-Luat-Chung-khoan-461323 || Thong-tu-25-2017-TT-NHNN-huong-dan-thu-tuc-chap-thuan-thay-doi-to-chuc-tin-dung-phi-ngan-hang-353862 || Nghi-dinh-91-2015-ND-CP-dau-tu-von-nha-nuoc-vao-doanh-nghiep-292804 || Thong-tu-50-2018-TT-NHNN-trinh-tu-thu-tuc-chap-thuan-noi-dung-thay-doi-ngan-hang-thuong-mai-344923 || ,5|4|2|4|3,6|5|5|5|3,6|5|6|5|5
139016,"Những Thông tư, Nghị định nào hướng dẫn Luật Cạnh tranh 2018?",DIRECT_REF,12,INSTRUMENT,0.6404761904761905,13,0.0,2.140277624130249,1,102268,26854,66759|34537|41460|156029|26854,66759|34537|41460|156029|279595,66759|34537|41460|156029|102268,145019|66759|102268|156029|279595,Luat-canh-tranh-345182 || Nghi-dinh-75-2019-ND-CP-quy-dinh-ve-xu-phat-vi-pham-hanh-chinh-trong-linh-vuc-canh-tranh-425023 || Nghi-dinh-35-2020-ND-CP-huong-dan-Luat-Canh-tranh-398083 || Nghi-dinh-03-2023-ND-CP-chuc-nang-nhiem-vu-quyen-han-Uy-ban-Canh-tranh-Quoc-gia-553977 || Thong-tu-12-2023-TT-BCT-sua-doi-Thong-tu-10-2018-TT-BCT-huong-dan-Nghi-dinh-40-2018-ND-CP-kinh-doanh,5|5|4|2|0,5|5|5|5|2,5|5|5|5|5
140522,"Công tác bảo đảm trật tự, an toàn giao thông, chống ùn tắc giao thông còn tồn tại những hạn chế nào?",GENERAL_SEMANTIC,22,,0.6603174603174604,12,0.0,5.056715965270996,0,,,6440|211293|126478|275675|186125,6440|186125|211293|126478|275675,6440|211293|186125|275675|126478,6440|186125|59441|10790|169568,Nghi-quyet-48-NQ-CP-2022-bao-dam-trat-tu-an-toan-giao-thong-va-chong-un-tac-giao-thong-509181 || Chi-thi-10-CT-TTg-2023-bao-dam-trat-tu-an-toan-giao-thong-duong-bo-trong-tinh-hinh-moi-563863 || Chi-thi-03-CT-TTg-2023-don-doc-thuc-hien-nhiem-vu-trong-tam-sau-ky-nghi-Tet-nguyen-dan-551858 || Quyet-dinh-22-2017-QD-TTg-to-chuc-hoat-dong-Uy-ban-Ban-An-toan-giao-thong-352691 || Quyet-dinh-2060-QD-TTg-2020-phe-duyet-Chien-luoc-bao-dam-trat-tu-an-toan-giao-thong-duong-bo-459358,5|5|2|2|4,6|6|2|4|5,6|6|4|6|6
140668,Đáp án đề thi lớp 10 chuyên Văn tại TP HCM năm 2023 2024? Tải đáp án đề thi chuyên Văn lớp 10 ở đâu?,GENERAL_SEMANTIC,25,,0.7235449735449737,15,0.0,0.060895755887031555,1,236871|279981,281912|152976,268375|285994|249505|281912|152976,268375|285994|249505|281912|152976,268375|236871|285994|249505|279981,236871|279981|268375|152976|174545,Quyet-dinh-1153-QD-UBND-2023-tuyen-sinh-vao-cac-lop-dau-cap-nam-hoc-2023-2024-Ho-Chi-Minh-562836 || Thong-tu-lien-tich-123-2015-TTLT-BQP-BGDDT-BLDTBXH-to-chuc-trung-tam-giao-duc-quoc-phong-an-ninh-295 ||  ||  || Thong-tu-15-2020-TT-BGDDT-Quy-che-thi-tot-nghiep-trung-hoc-pho-thong-444173,4|1|6|2|0,5|2|6|3|1,5|2|6|5|4
156366,Thủ tục đăng ký công nhận tiến bộ kỹ thuật về thuốc thú y được quy định ra sao?,PROCEDURE,19,,0.44999999999999996,9,0.0,2.294544219970703,0,,,8447|131310|284475|129920|51210,8447|51210|131310|284475|129920,8447|131310|51210|284475|129920,8447|42910|51210|99311|158189,Thong-tu-23-2010-TT-BNNPTNT-cong-nhan-tien-bo-ky-thuat-cong-nghe-sinh-hoc-Nganh-Nong-nghiep-Phat-tri || Thong-tu-04-2018-TT-BNNPTNT-trinh-tu-thu-tuc-cong-nhan-tien-bo-ky-thuat-trong-nong-nghiep-383304 || Thong-tu-13-2016-TT-BNNPTNT-quan-ly-thuoc-thu-y-317036 || Quyet-dinh-4014-QD-BNN-TY-2022-cong-bo-thu-tuc-hanh-chinh-linh-vuc-thu-y-534637 || Luat-thu-y-2015-282384,6|5|4|6|3,6|5|6|6|6,6|5|6|6|6
165930,Điều kiện để được phép kinh doanh bất động sản là gì?,DEFINITION,12,,0.6444444444444445,15,0.0,2.7567074298858643,1,184038,281247,223375|287560|168163|2113|281247,223375|287560|168163|2113|281247,223375|287560|168163|2113|184038,223375|165780|26667|287560|144551,Luat-Kinh-doanh-bat-dong-san-2014-259722 ||  || Nghi-dinh-02-2022-ND-CP-huong-dan-Luat-Kinh-doanh-bat-dong-san-2014-484653 || Luat-Dau-tu-so-61-2020-QH14-321051 || ,5|5|5|1|1,5|5|5|2|2,5|5|5|5|2
167262,Hồ sơ đề nghị cấp nhanh số lưu hành gồm những thành phần nào? ,PROCEDURE,14,,0.6523809523809524,13,0.0,3.0225040912628174,0,,,222206|218533|240951|184972|158189,222206|240951|184972|218533|158189,222206|240951|184972|158189|218533,222206|117449|99209|240951|158189,Nghi-dinh-98-2021-ND-CP-quan-ly-trang-thiet-bi-y-te-493940 || Thong-tu-13-2021-TT-BYT-cap-so-nhap-khau-thiet-bi-y-te-phong-chong-COVID19-truong-hop-cap-bach-48825 ||  ||  || Thong-tu-32-2018-TT-BYT-quy-dinh-viec-dang-ky-luu-hanh-thuoc-nguyen-lieu-thuoc-409358,5|4|1|3|4,5|5|5|5|5,5|6|5|5|6
