qid,question,archetype,word_count,active_cues,source_disagreement_at5,source_top5_union_size,ce_margin5_minus6,ce_score_std,rank_to_primary_set_churn,entering,leaving,rank_only_top5,blend015_top5,primary_top5,ce_only_top5,primary_top5_names,primary_support5,primary_support10,primary_support20
121272,Việc lập và điều chỉnh tăng giá điện được dựa trên những căn cứ nào?,GENERAL_SEMANTIC,15,CROSSREF,0.7555555555555555,17,0.0,3.551351308822632,1,217143,131639,148098|238125|236157|48456|131639,148098|238125|236157|48456|131639,148098|238125|236157|48456|217143,148098|270152|57792|238125|213187,Luat-Dien-Luc-2004-28-2004-QH11-18056 || Quyet-dinh-24-2017-QD-TTg-co-che-dieu-chinh-muc-gia-ban-le-dien-binh-quan-353584 || Quyet-dinh-28-2014-QD-TTg-co-cau-bieu-gia-ban-le-dien-225738 || Thong-tu-18-2020-TT-BCT-hop-dong-mua-ban-dien-mau-ap-dung-cho-du-an-dien-mat-troi-448189 || Thong-tu-02-2019-TT-BCT-phat-trien-du-an-dien-gio-Hop-dong-mua-ban-dien-mau-cho-du-an-dien-gio-40494,5|5|1|2|2,5|5|4|2|2,5|5|5|2|2
140668,Đáp án đề thi lớp 10 chuyên Văn tại TP HCM năm 2023 2024? Tải đáp án đề thi chuyên Văn lớp 10 ở đâu?,GENERAL_SEMANTIC,25,,0.7235449735449737,15,0.0,0.060895755887031555,1,236871|279981,281912|152976,268375|285994|249505|281912|152976,268375|285994|249505|281912|152976,268375|236871|285994|249505|279981,236871|279981|268375|152976|174545,Quyet-dinh-1153-QD-UBND-2023-tuyen-sinh-vao-cac-lop-dau-cap-nam-hoc-2023-2024-Ho-Chi-Minh-562836 || Thong-tu-lien-tich-123-2015-TTLT-BQP-BGDDT-BLDTBXH-to-chuc-trung-tam-giao-duc-quoc-phong-an-ninh-295 ||  ||  || Thong-tu-15-2020-TT-BGDDT-Quy-che-thi-tot-nghiep-trung-hoc-pho-thong-444173,4|1|6|2|0,5|2|6|3|1,5|2|6|5|4
7718,Mục tiêu và nguyên tắc phục hồi chức năng và điều trị các bệnh lý ở người lớn do hậu COVID-19 gây ra?,GENERAL_SEMANTIC,24,,0.6997354497354498,13,0.0,4.34366512298584,1,296375,254937,65009|292497|222242|276631|254937,65009|222242|276631|292497|254937,65009|292497|222242|276631|296375,65009|296375|276631|222242|254937,Quyet-dinh-2122-QD-BYT-2022-chan-doan-va-dieu-tri-sau-nhiem-COVID19-o-nguoi-lon-524317 ||  || Luat-15-2023-QH15-kham-benh-chua-benh-372143 ||  || Quyet-dinh-250-QD-BYT-2022-Huong-dan-chan-doan-dieu-tri-COVID19-502064,6|2|3|4|1,6|2|5|5|4,6|5|5|5|6
134740,"Trình tự, thủ tục tăng vốn điều lệ của công ty chứng khoán được quy định như thế nào?",PROCEDURE,19,,0.6880952380952381,13,0.0,2.940197467803955,1,133938,159107,165780|17396|54752|177687|159107,165780|17396|177687|54752|133938,165780|17396|177687|54752|133938,165780|14350|17396|88170|177687,Nghi-dinh-155-2020-ND-CP-huong-dan-Luat-Chung-khoan-461323 || Thong-tu-25-2017-TT-NHNN-huong-dan-thu-tuc-chap-thuan-thay-doi-to-chuc-tin-dung-phi-ngan-hang-353862 || Nghi-dinh-91-2015-ND-CP-dau-tu-von-nha-nuoc-vao-doanh-nghiep-292804 || Thong-tu-50-2018-TT-NHNN-trinh-tu-thu-tuc-chap-thuan-noi-dung-thay-doi-ngan-hang-thuong-mai-344923 || ,5|4|2|4|3,6|5|5|5|3,6|5|6|5|5
105332,Người ứng cử được đại biểu Quốc hội giới thiệu phải chuẩn bị hồ sơ nhân sự như thế nào?,PROCEDURE,20,,0.6791005291005291,14,0.0,3.9380156993865967,1,2933,101494,14244|280226|166947|4736|101494,14244|166947|4736|280226|101494,14244|166947|280226|4736|2933,166947|4736|14244|61383|193815,Nghi-quyet-31-2023-UBTVQH15-huong-dan-mot-so-dieu-khoan-cua-Noi-quy-ky-hop-Quoc-hoi-560208 || Nghi-quyet-71-2022-QH15-Noi-quy-ky-hop-Quoc-hoi-295408 || Luat-Bau-cu-dai-bieu-Quoc-hoi-va-dai-bieu-Hoi-dong-nhan-dan-2015-282376 || Nghi-quyet-102-2015-QH13-ban-hanh-noi-quy-ky-hop-Quoc-hoi-298382 || Huong-dan-66-HD-TWDTN-BTC-2021-tien-toi-Dai-hoi-dai-bieu-Doan-Thanh-nien-cong-san-Ho-Chi-Minh-505390,5|4|5|3|2,5|4|5|3|3,5|5|6|4|4
165930,Điều kiện để được phép kinh doanh bất động sản là gì?,DEFINITION,12,,0.6444444444444445,15,0.0,2.7567074298858643,1,184038,281247,223375|287560|168163|2113|281247,223375|287560|168163|2113|281247,223375|287560|168163|2113|184038,223375|165780|26667|287560|144551,Luat-Kinh-doanh-bat-dong-san-2014-259722 ||  || Nghi-dinh-02-2022-ND-CP-huong-dan-Luat-Kinh-doanh-bat-dong-san-2014-484653 || Luat-Dau-tu-so-61-2020-QH14-321051 || ,5|5|5|1|1,5|5|5|2|2,5|5|5|5|2
139016,"Những Thông tư, Nghị định nào hướng dẫn Luật Cạnh tranh 2018?",DIRECT_REF,12,INSTRUMENT,0.6404761904761905,13,0.0,2.140277624130249,1,102268,26854,66759|34537|41460|156029|26854,66759|34537|41460|156029|279595,66759|34537|41460|156029|102268,145019|66759|102268|156029|279595,Luat-canh-tranh-345182 || Nghi-dinh-75-2019-ND-CP-quy-dinh-ve-xu-phat-vi-pham-hanh-chinh-trong-linh-vuc-canh-tranh-425023 || Nghi-dinh-35-2020-ND-CP-huong-dan-Luat-Canh-tranh-398083 || Nghi-dinh-03-2023-ND-CP-chuc-nang-nhiem-vu-quyen-han-Uy-ban-Canh-tranh-Quoc-gia-553977 || Thong-tu-12-2023-TT-BCT-sua-doi-Thong-tu-10-2018-TT-BCT-huong-dan-Nghi-dinh-40-2018-ND-CP-kinh-doanh,5|5|4|2|0,5|5|5|5|2,5|5|5|5|5
78846,Chương trình mục tiêu quốc gia phát triển kinh tế xã hội vùng đồng bào dân tộc thiểu số và miền núi giai đoạn 2021-2030 có hỗ trợ nhà ở cho hộ đồng bào dân tộc thiểu số không?,GENERAL_SEMANTIC,40,NEGATION,0.638888888888889,12,0.001953125,3.8164234161376953,1,281469,285636,82252|172183|279608|225809|285636,225809|172183|279608|82252|285636,82252|172183|225809|279608|281469,225809|279608|11864|281469|162307,Quyet-dinh-1719-QD-TTg-2021-Chuong-trinh-phat-trien-kinh-te-xa-hoi-vung-dan-toc-thieu-so-491217 || Thong-tu-02-2022-TT-UBDT-huong-dan-du-an-Chuong-trinh-phat-trien-kinh-te-dan-toc-thieu-so-521070 || Thong-tu-01-2022-TT-BXD-ho-tro-nha-o-ho-ngheo-thuoc-Chuong-trinh-giam-ngheo-ben-vung-520547 || Nghi-quyet-88-2019-QH14-De-an-phat-trien-kinh-te-xa-hoi-vung-dong-bao-dan-toc-thieu-so-va-mien-nui-4 || Quyet-dinh-90-QD-TTg-2022-phe-duyet-Chuong-trinh-muc-tieu-quoc-gia-giam-ngheo-ben-vung-500969,6|4|2|4|2,6|6|4|6|2,6|6|5|6|2
78844,Chủ nợ và doanh nghiệp mất khả năng thanh toán có được quyền thương lượng rút đơn yêu cầu mở thủ tục phá sản không?,PROCEDURE,25,NEGATION,0.6550264550264551,15,0.00390625,3.1549582481384277,1,198465|90853,288736|57682,277391|217416|144344|288736|57682,277391|217416|144344|288736|57682,277391|217416|144344|198465|90853,277391|217416|156593|198465|213424,Luat-Pha-san-2014-238641 || Thong-tu-01-2015-TT-CA-Quy-che-lam-viec-to-tham-phan-trong-qua-trinh-giai-quyet-vu-viec-pha-san-2932 || Nghi-quyet-03-2016-NQ-HDTP-huong-dan-thi-hanh-quy-dinh-Luat-pha-san-304588 || Quyet-dinh-436-QD-VKSTC-2020-quy-trinh-kiem-sat-viec-giai-quyet-pha-san-459143 || Nghi-quyet-326-2016-UBTVQH14-muc-thu-mien-giam-thu-nop-quan-ly-su-dung-an-phi-le-phi-Toa-an-337085,6|5|4|0|0,6|5|4|3|2,6|5|5|3|2
126942,Bay kiểm tra được phân loại gồm những hình thức nào?,GENERAL_SEMANTIC,11,,0.7828042328042328,17,0.0078125,3.2128238677978516,1,112250,194788,15628|157128|73464|96750|194788,15628|157128|96750|73464|112250,15628|157128|96750|73464|112250,15628|25241|112250|240806|96750,Thong-tu-19-2017-TT-BGTVT-quy-dinh-ve-quan-ly-va-bao-dam-hoat-dong-bay-330393 || Thong-tu-28-2018-TT-BTNMT-quy-dinh-ky-thuat-cong-tac-bay-do-tu-trong-dieu-tra-dia-chat-khoang-san-40 || Nghi-dinh-89-2018-ND-CP-huong-dan-Luat-phong-chong-benh-truyen-nhiem-ve-kiem-dich-y-te-bien-gioi-363 || Nghi-dinh-125-2015-ND-CP-quan-ly-hoat-dong-bay-297529 || Thong-tu-69-2020-TT-BCA-kiem-tra-cong-tac-bao-ve-moi-truong-trong-Cong-an-nhan-dan-446246,5|3|1|2|1,6|4|3|2|2,6|5|5|3|3
