private_qid,question,cluster_id,train_lex_qid,train_lex_sim,train_lex_question,train_emb_qid,train_emb_sim,train_emb_question,public_lex_qid,public_lex_sim,public_lex_question,public_emb_qid,public_emb_sim,public_emb_question,hist_cal_a_lex_qid,hist_cal_a_lex_sim,hist_cal_a_lex_question,hist_cal_a_emb_qid,hist_cal_a_emb_sim,hist_cal_a_emb_question,hist_cal_b_lex_qid,hist_cal_b_lex_sim,hist_cal_b_lex_question,hist_cal_b_emb_qid,hist_cal_b_emb_sim,hist_cal_b_emb_question,hist_cal_c_lex_qid,hist_cal_c_lex_sim,hist_cal_c_lex_question,hist_cal_c_emb_qid,hist_cal_c_emb_sim,hist_cal_c_emb_question,hist_cal_d_lex_qid,hist_cal_d_lex_sim,hist_cal_d_lex_question,hist_cal_d_emb_qid,hist_cal_d_emb_sim,hist_cal_d_emb_question
44474,Thực hiện thông quan hàng hóa nhập khẩu phải kiểm tra chuyên ngành theo cơ chế một cửa quốc gia như thế nào?,15,18556,0.50228989,Thủ tục thẩm định nội dung đồ chơi trẻ em nhập khẩu theo cơ chế một cửa quốc gia như thế nào?,99908,0.57642972,Trách nhiệm của cơ quan khi kiểm tra nhập khẩu xe cơ giới?,33488,0.33350158,Cơ quan hải quan kiểm tra kho bảo thuế như thế nào?,48452,0.42260158,Quy định về hồ sơ hải quan khi làm thủ tục hải quan như thế nào?,83172,0.19544488,Cơ quan nào có trách nhiệm kiểm tra và xử lý văn bản do Bộ Tài chính ban hành?,83172,0.21728246,Cơ quan nào có trách nhiệm kiểm tra và xử lý văn bản do Bộ Tài chính ban hành?,19884,0.29319453,Trưởng đoàn thanh tra chuyên ngành của Bộ Giao thông vận tải có quyền xử phạt nhân viên hàng không không khóa chốt cửa buồng lái máy bay trong thời gian đang bay không?,132362,0.22995731,Doanh nghiệp muốn tiến hành hoạt động tạm nhập tái xuất thuốc thú y có chứa tiền chất thì cần có sự cho phép của cơ quan nào?,69174,0.23580140,Người nhập cảnh vào Việt Nam gửi ngoại tệ tiền mặt vào tài khoản thanh toán bằng ngoại tệ của cá nhân có phải khai báo Hải quan cửa khẩu không?,69174,0.34688142,Người nhập cảnh vào Việt Nam gửi ngoại tệ tiền mặt vào tài khoản thanh toán bằng ngoại tệ của cá nhân có phải khai báo Hải quan cửa khẩu không?,111418,0.40913457,Hàng hóa cấm nhập khẩu theo quy định pháp luật,111418,0.47933525,Hàng hóa cấm nhập khẩu theo quy định pháp luật
77938,"Việc vận chuyển, giao, nhận tài liệu, vật chứa bí mật nhà nước được quy định như thế nào?",6,62938,0.43714261,Khi không cần thiết phải lưu giữ vật chứa bí mật nhà nước độ Tối mật thì có được tiêu hủy vật chứa đó không?,70924,0.80155015,Tài liệu bí mật Nhà nước mang ra khỏi nơi lưu giữ phải đảm bảo điều kiện gì?,126174,0.32214427,"Thu thập thông tin, tài liệu liên quan đến nội dung kiểm tra việc sử dụng số liệu, thông tin thống kê nhà nước được quy định như thế nào?",134420,0.46878582,"Thời hiệu xử lý kỷ luật cung cấp, tiết lộ trái quy định những thông tin, tài liệu, thuộc bí mật của Đảng, Nhà nước?",148094,0.21021038,"Trưởng đoàn và thành viên Đoàn kiểm tra việc sử dụng số liệu, thông tin thống kê nhà nước phải đáp ứng những yêu cầu gì?",92530,0.35159186,"Tủ sách pháp luật tại cơ quan, đơn vị của lực lượng vũ trang nhân dân được phục vụ bằng hình thức nào?",21826,0.19121802,Bị Nhà nước thu hồi đất nhận chuyển quyền sử dụng do vượt quá hạn mức thì có được bồi thường hay không?,40018,0.39119494,Người sử dụng tài liệu lưu trữ tại Lưu trữ lịch sử có phải có Giấy chứng minh nhân dân hay hộ chiếu gì không?,113580,0.24672705,Việc kinh doanh vật liệu nổ công nghiệp thực hiện như thế nào?,111896,0.43809468,Thời hạn bảo quản tài liệu là gì?,49286,0.32351494,Phải ghi những thông tin gì trong mẫu sổ chuyển giao bí mật nhà nước theo quy định của pháp luật?,110220,0.69027424,Các hành vi nào bị nghiêm cấm trong bảo vệ bí mật nhà nước?
33616,Đi nghĩa vụ quân sự mà làm mất súng có thể ở tù hay không?,4,23352,0.47537941,Nghĩa vụ quân sự là gì?,151872,0.65620428,Vận chuyển trái phép súng săn bị xử phạt như thế nào?,17190,0.35733998,Độ tuổi thực hiện nghĩa vụ quân sự là gì?,80230,0.42774874,Mức phạt tù đối với tội trộm cắp tài sản,118842,0.14340365,Chủ hộ kinh doanh có những quyền và nghĩa vụ nào khi đăng ký hộ kinh doanh?,51940,0.38347584,Người chiếm đoạt chất ma túy là nhựa thuốc phiện dưới 500 gam thì bị phạt bao nhiêu năm tù?,1346,0.29713994,Binh sĩ đi nghĩa vụ quân sự được xuất ngũ bằng hình thức nào?,1346,0.41277674,Binh sĩ đi nghĩa vụ quân sự được xuất ngũ bằng hình thức nào?,77934,0.34199071,Bị viêm phế quản có được miễn nghĩa vụ quân sự không?,7460,0.34155962,Thời hạn xử lý kỷ luật đối với Chỉ huy trưởng Ban chỉ huy quân sự cấp xã vi phạm kỷ luật là trong bao lâu?,31840,0.41568440,Đi nghĩa vụ quân sự có được hưởng trợ cấp thất nghiệp không?,48012,0.46086407,Thời hiệu truy cứu trách nhiệm hình sự đối với tội sử dụng trái phép tài sản là bao nhiêu năm?
49422,Tiêu chuẩn về trình độ đào tạo của giảng viên giáo dục nghề nghiệp chính (hạng II) là gì?,23,166206,0.53038961,Giảng viên giáo dục nghề nghiệp lý thuyết có nhiệm vụ gì?,49638,0.62296289,Nhà giáo giảng dạy chương trình đào tạo chất lượng cao trình độ trung cấp còn phải đáp ứng tiêu chí nào ngoài tiêu chí về kinh nghiệm làm việc?,156236,0.60559666,"Tiêu chuẩn về trình độ đào tạo, bồi dưỡng đối với chức danh giáo viên giáo dục nghề nghiệp hạng 1 thế nào?",156236,0.73254710,"Tiêu chuẩn về trình độ đào tạo, bồi dưỡng đối với chức danh giáo viên giáo dục nghề nghiệp hạng 1 thế nào?",45120,0.19315320,Quy trình cấp Chứng chỉ hành nghề dịch vụ đại diện sở hữu công nghiệp?,121560,0.31073445,"Hiệu trưởng trường đại học thành viên của đại học vùng có nhiệm vụ, quyền hạn gì?",29846,0.34607959,Phương pháp viên hạng 4 chuyên ngành văn hóa cơ sở cần đáp ứng những tiêu chuẩn chung về đạo đức nghề nghiệp như thế nào?,28788,0.51627129,Giảng viên huấn luyện nội dung lý thuyết chuyên ngành về an toàn vệ sinh lao động trong Bộ Quốc phòng cần đáp ứng tiêu chuẩn gì về chuyên môn nghiệp vụ?,128260,0.38429207,Giảng viên giảng dạy đào tạo bác sĩ nội trú có nhiệm vụ như thế nào?,128260,0.45936590,Giảng viên giảng dạy đào tạo bác sĩ nội trú có nhiệm vụ như thế nào?,14660,0.36555988,Ban tổ chức Hội giảng nhà giáo giáo dục nghề nghiệp của trường cao đẳng thông báo kế hoạch tổ chức cho nhà giáo trước bao nhiêu ngày?,101642,0.37577963,Có hình thức đào tạo nào cho người đi làm tham gia học tập tại trường đại học không?
16594,Người sản xuất chế biến chè có cần phải được tập huấn kiến thức về vệ sinh an toàn thực phẩm hay không?,0,66924,0.58969569,Đối tượng phải được tập huấn kiến thức an toàn thực phẩm gồm những ai?,66924,0.56349528,Đối tượng phải được tập huấn kiến thức an toàn thực phẩm gồm những ai?,41936,0.36302936,Có cần gia hạn giấy chứng nhận cơ sở đủ điều kiện an toàn thực phẩm hay chỉ cần bản cam kết an toàn vệ sinh thực phẩm đối với cơ sở dịch vụ ăn uống?,154702,0.52976525,Nền nhà xưởng của cơ sở chế biến chè cần xây dựng cao hơn mặt bằng chung bao nhiêu?,113924,0.26301676,Mẫu Giấy chứng nhận đủ điều kiện hoạt động huấn luyện an toàn vệ sinh lao động trong Bộ Quốc phòng hiện nay?,13692,0.26247162,Học ngành thiết kế đồ họa trình độ cao đẳng sau khi tốt nghiệp phải đạt được kỹ năng ngoại ngữ như thế nào?,28788,0.25039566,Giảng viên huấn luyện nội dung lý thuyết chuyên ngành về an toàn vệ sinh lao động trong Bộ Quốc phòng cần đáp ứng tiêu chuẩn gì về chuyên môn nghiệp vụ?,28788,0.27941763,Giảng viên huấn luyện nội dung lý thuyết chuyên ngành về an toàn vệ sinh lao động trong Bộ Quốc phòng cần đáp ứng tiêu chuẩn gì về chuyên môn nghiệp vụ?,153764,0.20185745,Chế độ sinh hoạt tinh thần tại cơ sở giam giữ có yêu cầu gì về điều kiện đối với người bị tạm giam hay không?,58158,0.35078204,Huấn luyện an toàn hóa chất về nội dung các đặc tính nguy hiểm của hóa chất dành cho nhóm đối tượng nào?,40818,0.23544234,"Để được sát hạch nghiệp vụ đánh giá an toàn, vệ sinh lao động thì học viên phải đảm bảo tham gia bao nhiêu phần trăm thời gian khóa huấn luyện?",111444,0.36284104,Người kinh doanh thực phẩm có những nghĩa vụ gì phải đảm bảo thực hiện trong kinh doanh?
30314,Sàn giao dịch bất động sản là gì? Các điều kiện cần thiết để thành lập sàn giao dịch bất động sản?,13,150450,0.52630448,Sàn giao dịch công nghệ quốc gia là gì?,113494,0.68529236,Kinh doanh bất động sản là gì?,95908,0.36221439,Trong việc giám sát giao dịch chứng khoán thì những giao dịch nào được Sở giao dịch chứng khoán xem là bất thường?,94858,0.42466623,Chứng chỉ môi giới bất động sản bị thu hồi khi nào?,74206,0.18735123,Thời hiệu yêu cầu Tòa án tuyên bố giao dịch dân sự vô hiệu,1828,0.32581279,Nhà ở là gì?,34730,0.20955896,Dịch vụ phụ trợ bảo hiểm là gì?,96948,0.34378752,Chuyển nhượng hợp đồng mua bán nhà ở hình thành trong tương lai cần có những điều kiện gì?,89102,0.33757979,"Thành viên giao dịch, thành viên giao dịch đặc biệt công cụ nợ tại Sở giao dịch chứng khoán bị đình chỉ giao dịch khi nào?",121728,0.39048588,Mua dự án bất động sản hình thành trong tương lai chưa thanh toán đủ 30% không được ký hợp đồng có đúng luật không?,54520,0.30301726,"Điều kiện, trình tự cấp chứng chỉ hành nghề môi giới bất động sản ra sao?",54520,0.55761123,"Điều kiện, trình tự cấp chứng chỉ hành nghề môi giới bất động sản ra sao?"
77048,Văn phòng Trung ương Đảng có trách nhiệm quản lý trung tâm mạng thông tin diện rộng của Đảng thế nào?,9,126872,0.80090606,Trung tâm mạng thông tin diện rộng của Đảng là gì?,126872,0.91408819,Trung tâm mạng thông tin diện rộng của Đảng là gì?,36212,0.35810745,Trung tâm quản lý sau cai nghiện ma tuý có những phòng ban nào?,90090,0.53744346,Nhiệm vụ và quyền hạn của Trung tâm Internet Việt Nam là gì?,57310,0.25251269,Đối với hệ thống đường trung ương việc báo cáo được thực hiện như thế nào?,141276,0.41785014,Vụ Hợp tác quốc tế thuộc Bộ Thông tin và Truyền thông có chức năng gì?,10034,0.18176746,"Trách nhiệm của Bộ Công an trong công tác phòng, chống tội phạm về đa dạng sinh học đến năm 2030 thế nào?",103146,0.25031814,Phòng Tài vụ và Quản trị thuộc Cục Điều tra chống buôn lậu thực hiện những chức năng gì?,74932,0.25238568,Tập trung xây dựng và chỉnh đốn Đảng trong sạch khi thực hiện chương trình phát triển kinh tế xã hội vùng trung du và miền núi Bắc bộ?,78214,0.39733136,Cục Thông tin cơ sở trực thuộc Bộ Thông tin và Truyền thông có cơ cấu tổ chức như thế nào? Biên chế công chức của Cục do ai quyết định?,146602,0.29437661,Chi cho vay của ngân sách trung ương được quy định như thế nào?,103788,0.43131804,Trung tâm tư vấn pháp luật Tổng Liên đoàn Lao động Việt Nam có chức năng gì?
132310,Người đại diện theo pháp luật của công ty trách nhiệm hữu hạn một thành viên Quản lý tài sản của các tổ chức tín dụng Việt Nam là ai?,13,35194,0.75378591,Cơ quan nào là cơ quan đại diện chủ sở hữu tại công ty trách nhiệm hữu hạn một thành viên Quản lý tài sản của các tổ chức tín dụng Việt Nam?,35194,0.88907170,Cơ quan nào là cơ quan đại diện chủ sở hữu tại công ty trách nhiệm hữu hạn một thành viên Quản lý tài sản của các tổ chức tín dụng Việt Nam?,132790,0.46561098,Công ty trách nhiệm hữu hạn một thành viên có thể chuyển đổi quyền sở hữu doanh nghiệp từ người Việt Nam sang người nước ngoài hay không?,103638,0.45547521,Thời gian hoạt động của công ty cho thuê tài chính được ghi trên Giấy phép thành lập và hoạt động tối đa là bao nhiêu năm?,91122,0.27195972,Trong quản lý cán cân thanh toán quốc tế của Việt Nam thì Ngân hàng Nhà nước có những trách nhiệm nào?,128748,0.34747529,Giám đốc Sở Tài nguyên và Môi trường thuộc Ủy ban nhân dân cấp tỉnh có thuộc biên chế công chức hay không?,13534,0.25783896,"Phân loại quản lý người bị tạm giữ, người bị tạm giam theo quy định pháp luật",67926,0.38014099,Điều lệ của tổ chức tín dụng là công ty cổ phần phải được đăng ký tại đâu kể từ ngày được thông qua?,48118,0.39501739,Chủ tịch Công ty trách nhiệm hữu hạn một thành viên Nhà xuất bản Lao động Xã hội có nghĩa vụ gì?,7922,0.47819328,Các tổ chức tín dụng là hợp tác xã có ban kiểm soát hay không?,165486,0.40813076,Quyết định tuyên bố công ty trách nhiệm hữu hạn hai thành viên phá sản có các nội dung gì?,113882,0.54589957,Ban điều hành trong tổ chức tài chính vi mô là công ty TNHH một thành viên bao gồm những ai?
52596,"Đơn yêu cầu bắt giữ tàu biển phải bao gồm những tài liệu, chứng cứ kèm theo nào?",15,122688,0.34777570,"Kho chứa hóa chất nguy hiểm phải có các tài liệu, bảng, biển báo đảm bảo theo quy định như thế nào?",75974,0.76897633,Quyết định bắt giữ tàu biển để bảo đảm giải quyết khiếu nại hàng hải gồm những nội dung gì?,158002,0.24534929,Tên hợp tác xã có được kèm theo chữ số và ký hiệu không?,11672,0.40612972,Tàu biển không đến được cảng trả hàng và không có khả năng chờ đợi để đến cảng trả hàng sau một thời gian hợp lý thì xử lý như thế nào?,45408,0.33965266,Hồ sơ yêu cầu chứng thực chữ ký gồm những gì?,139590,0.48997653,Đăng ký tàu biển có những hình thức nào?,146974,0.18680418,Hợp đồng ủy nhiệm lập hóa đơn điện tử sẽ bắt buộc phải có các nội dung nào?,42074,0.31894293,Chủ tàu thủy nội địa phải nộp những giấy tờ gì để được vào bến thủy nội địa thuộc thẩm quyền quản lý của Bộ Quốc phòng?,68574,0.22050214,Việc xác định giá trị tài liệu lưu trữ của hệ thống Bảo hiểm xã hội Việt Nam phải đạt yêu cầu nào?,158062,0.29936418,Trong trường hợp nào bộ đội biên phòng có quyền xử phạt vi phạm hành chính mà không cần lập biên bản?,71210,0.21558022,Hồ sơ đề nghị cấp Chứng chỉ hành nghề Quản tài viên gồm những loại giấy tờ nào?,68772,0.36560231,"Cơ quan nào có thẩm quyền đóng cảng biển, cảng dầu khí ngoài khơi trong trường hợp khẩn cấp?"
154962,Nghĩa vụ của cơ sở tôn giáo trong việc sử dụng đất do nhà nước giao quyền sử dụng là gì?,14,29048,0.57733846,Thủ tục cấp Giấy chứng nhận quyền sử dụng đất do cơ sở tôn giáo đang sử dụng như thế nào?,29048,0.72990435,Thủ tục cấp Giấy chứng nhận quyền sử dụng đất do cơ sở tôn giáo đang sử dụng như thế nào?,128194,0.33997220,Chứng chỉ định giá đất do cơ quan nào có quyền phát hành và được áp dụng trong phạm vi cả nước?,136342,0.45201614,"Điều kiện để trẻ em được đăng ký thường trú tại cơ sở tín ngưỡng, tôn giáo là gì?",46868,0.30854315,Điều kiện xác định dự án đầu tư có sử dụng đất là gì?,137956,0.22981283,Cơ sở được cấp giấy phép môi trường có được xử lý chất thải nguy hại không?,21826,0.29699373,Bị Nhà nước thu hồi đất nhận chuyển quyền sử dụng do vượt quá hạn mức thì có được bồi thường hay không?,5822,0.50303757,"Cuộc lễ, giảng đạo ngoài cơ sở tôn giáo, địa điểm hợp pháp là như thế nào?",74438,0.34869379,Bộ pháp điển của Nhà nước được sử dụng để làm gì?,86744,0.35323176,"Các trường hợp nào Nhà nước tiến hành thu hồi đất để phát triển kinh tế - xã hội vì lợi ích quốc gia, công cộng?",61516,0.30746055,Người bị tố cáo trong thi hành tạm giữ hình sự có quyền và nghĩa vụ gì?,25360,0.34100106,Người dân tự ý xây dựng nhà ở trên đất nông nghiệp của Ủy ban chưa thực hiện giao đất thì bị xử phạt hành chính như thế nào?
