row_index,qid,question,char_len,word_len,count_dieu,count_khoan,count_diem,count_chuong,count_muc,instrument_luat,instrument_bo_luat,instrument_nghi_dinh,instrument_thong_tu,instrument_quyet_dinh,instrument_nghi_quyet,instrument_phap_lenh,instrument_hien_phap,has_explicit_legal_locator,has_instrument_number,has_year,has_version_cue,has_cross_ref_cue,instrument_type_count,has_numeric_expression,has_entity_hint,archetype
0,44474,Thực hiện thông quan hàng hóa nhập khẩu phải kiểm tra chuyên ngành theo cơ chế một cửa quốc gia như thế nào?,108,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,GENERAL_SEMANTIC
1,77938,"Việc vận chuyển, giao, nhận tài liệu, vật chứa bí mật nhà nước được quy định như thế nào?",89,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GENERAL_SEMANTIC
2,33616,Đi nghĩa vụ quân sự mà làm mất súng có thể ở tù hay không?,58,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GENERAL_SEMANTIC
3,49422,Tiêu chuẩn về trình độ đào tạo của giảng viên giáo dục nghề nghiệp chính (hạng II) là gì?,89,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CONDITION
4,16594,Người sản xuất chế biến chè có cần phải được tập huấn kiến thức về vệ sinh an toàn thực phẩm hay không?,103,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GENERAL_SEMANTIC
5,30314,Sàn giao dịch bất động sản là gì? Các điều kiện cần thiết để thành lập sàn giao dịch bất động sản?,98,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CONDITION
6,77048,Văn phòng Trung ương Đảng có trách nhiệm quản lý trung tâm mạng thông tin diện rộng của Đảng thế nào?,101,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GENERAL_SEMANTIC
7,132310,Người đại diện theo pháp luật của công ty trách nhiệm hữu hạn một thành viên Quản lý tài sản của các tổ chức tín dụng Việt Nam là ai?,133,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,CROSS_REFERENCE
8,52596,"Đơn yêu cầu bắt giữ tàu biển phải bao gồm những tài liệu, chứng cứ kèm theo nào?",80,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,CONDITION
9,154962,Nghĩa vụ của cơ sở tôn giáo trong việc sử dụng đất do nhà nước giao quyền sử dụng là gì?,88,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DEFINITION
10,81198,"Điều kiện, thủ tục thành lập; điều kiện hoạt động giáo dục; sáp nhập, chia tách, đình chỉ hoạt động, giải thể trường tiểu học và các cơ sở giáo dục khác ra sao?",160,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PROCEDURE
11,129660,Công khai báo cáo tài chính của Cục Đăng kiểm Việt Nam được quy định như thế nào?,81,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GENERAL_SEMANTIC
12,154966,Có các chất phụ gia thực phẩm nào được phép sử dụng?,52,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CONDITION
13,163000,Trường hợp nào không được nâng lương trước hạn dù có thành tích xuất sắc?,73,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ELIGIBILITY
14,8894,Trái phiếu chính quyền địa phương được phát hành theo phương thức nào?,70,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,GENERAL_SEMANTIC
15,151714,Phụ cấp trách nhiệm đối với kế toán viên của các đơn vị kế toán trong lĩnh vực kế toán nhà nước được quy định như thế nào?,122,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PROCEDURE
16,135654,"Điều kiện, hồ sơ đăng ký thường trú tại chỗ ở hợp pháp do thuê, mượn, ở nhờ được quy định như thế nào?",102,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PROCEDURE
17,100548,Thành viên giao dịch đặc biệt bị đình chỉ hoạt động giao dịch trong trường hợp nào?,83,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ELIGIBILITY
18,29034,Thợ máy trực ca trên tàu biển Việt Nam có nhiệm vụ gì?,54,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GENERAL_SEMANTIC
19,130422,Phụ trách kế toán là gì?,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DEFINITION
20,128820,Người điều khiển xe máy vận chuyển hàng hóa cần đảm bảo kích thước hàng hóa được vận chuyển như thế nào?,104,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GENERAL_SEMANTIC
21,142944,Đối tượng được thu thập thông tin về cầu lao động là ai?,56,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CONDITION
22,165418,Quảng cáo nước rửa tay diệt khuẩn 99% cần phải đảm bảo những thông tin gì?,74,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GENERAL_SEMANTIC
23,68716,"Giám đốc, Phó Giám đốc Cảng vụ hàng không do ai bổ nhiệm hay miễn nhiễm?",72,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GENERAL_SEMANTIC
