qid,question,same_qid,same_qid_same_text,exact_warmup_qids
52596,"Đơn yêu cầu bắt giữ tàu biển phải bao gồm những tài liệu, chứng cứ kèm theo nào?",1,1,52596
29034,Thợ máy trực ca trên tàu biển Việt Nam có nhiệm vụ gì?,1,1,29034
59724,Người nộp thuế là nhà thầu nước ngoài phải tuân thủ những quy định nào?,1,1,59724
73712,Khái niệm về sổ đỏ là gì?,1,1,73712
144010,Những hành vi nào xâm phạm chỉ dẫn địa lý?,1,1,144010
77606,Tờ rơi in quảng cáo bột ngũ cốc dùng cho trẻ từ 12 đến dưới 24 tháng tuổi phải thể hiện những thông tin gì về sản phẩm?,1,1,77606
146948,Làm thế nào để thực hiện đăng ký bản quyền đối với logo công ty?,1,1,146948
125758,"Trình tự hồ sơ, thủ tục giải quyết chế độ ưu đãi đối với người có công giúp đỡ cách mạng được pháp luật quy định như thế nào? ",1,1,125758
43004,Tài sản không chia được khi chia liên hiệp hợp tác xã được xử lý như thế nào?,1,1,43004
2848,Thông tin hải quan được thu thập lưu trữ để phục vụ những việc gì?,1,1,2848
117312,Chất lượng xoài quả tươi hạng I được quy định thế nào?,1,1,117312
131630,Giá trị bản sao từ bản chính bằng đại học có thời hạn trong bao lâu?,1,1,131630
16280,Thời lượng Chương trình giáo dục thường xuyên cấp trung học cơ sở,1,1,16280
134140,Khi có chiến tranh xảy ra thì người vận chuyển từ chối thực hiện hợp đồng vận chuyển hành khách và hành lý thì có phải bồi thường không?,1,1,134140
127320,Công ty trách nhiệm hữu hạn một thành viên giảm vốn điều lệ trong trường hợp nào?,1,1,127320
83404,Xây dựng các tiêu chuẩn quốc gia về sử dụng năng lượng tái tạo như thế nào?,1,1,83404
61120,"UBND cấp xã, đơn vị quân đội được giao giám sát, giáo dục người chấp hành hình phạt quản chế có thẩm quyền trừ vào thu nhập của người thi hành án không?",1,1,61120
13048,Bộ Văn hóa Thể thao và Du lịch có trách nhiệm gì trong việc phối hợp thực hiện đưa bảo vật quốc gia đưa ra nước ngoài có thời hạn để trưng bày?,1,1,13048
137848,Mức chi hỗ trợ cho Ủy ban nhân dân cấp xã là bao nhiêu?,1,1,137848
59746,Vay vốn ưu đãi thực hiện chính sách nhà ở xã hội thì quy trình thủ tục thực hiện được quy định như thế nào?,1,1,59746
118698,Mức phụ cấp ưu đãi nghề Hải quan hiện nay là bao nhiêu?,1,1,118698
69854,Các mối quan hệ trong công việc của chuyên viên về hợp tác quốc tế là gì?,1,1,69854
55470,Việc xác định biên chế công chức dựa trên những căn cứ nào?,1,1,55470
95876,Sự cố tàu bay là gì?,1,1,95876
129756,Học ngành kế toán hành chính sự nghiệp trình độ cao đẳng thì khi tốt nghiệp có thể làm công việc nào?,1,1,129756
118604,Báo cáo kết quả thực hiện nhiệm vụ của thành viên Đoàn thanh tra chuyên ngành ngân hàng bao gồm những nội dung nào?,1,1,118604
133758,Chứng minh trong vụ án dân sự về bảo vệ quyền lợi người tiêu dùng được thực hiện như thế nào?,1,1,133758
110952,"Cách xác định quỹ tiền lương, thù lao, tiền thưởng đối với quỹ đổi mới công nghệ quốc gia từ ngày 15/8/2022?",1,1,110952
89838,Chủ hộ kinh doanh có phải thực hiện các nghĩa vụ về thuế không?,1,1,89838
69612,Sử dụng căn hộ chung cư vào mục đích không phải để ở có bị xử phạt không?,1,1,69612
91448,Việc xếp lương và trả lương đối với công chức cấp trung ương loại B cần đáp ứng những nguyên tắc gì?,1,1,91448
146666,Viên chức có được cấp hộ chiếu công vụ không?,1,1,146666
21854,Hợp nhất công ty có làm chấm dứt tồn tại của công ty bị hợp nhất không?,1,1,21854
69966,Điều kiện của người lái xe tham gia giao thông được quy định như thế nào?,1,1,69966
135898,Đi đăng ký khai sinh cho con thì cần chuẩn bị những giấy tờ gì?,1,1,135898
22928,Cán bộ công chức ngành y tế vì lý do sức khỏe có được từ chức không?,1,1,22928
103502,Thời hạn nộp lệ phí môn bài theo quy định của pháp luật là khi nào?,1,1,103502
116540,Thủ tục nộp tiền để bảo đảm thi hành án tại ngân hàng được quy định như thế nào?,1,1,116540
8526,Về nhân viên chuyên môn của doanh nghiệp kinh doanh hoạt động thể thao,1,1,8526
151844,Họp giao ban Lãnh đạo Tổng cục Thi hành án dân sự là họp về những nội dung gì?,1,1,151844
11260,"Đối tượng hưởng chế độ ưu đãi người có công, thân nhân người có công với cách mạng được quy định như thế nào?",1,1,11260
73544,"Thành viên Hội đồng quản lý có nhiệm vụ, quyền hạn gì?",1,1,73544
40652,"Khi tổ chức thi đấu môn Bóng ném tại Việt Nam, cơ sở vật chất và trang thiết bị tập luyện được chuẩn bị như thế nào?",1,1,40652
27490,Người lao động là người nước ngoài ngưng làm việc trong vòng một tháng thì có phải đóng bảo hiểm xã hội bắt buộc không?,1,1,27490
72248,Bơ quả tươi bị nhăn thì có đảm bảo về độ chín khi thu hoạch hay không? ,1,1,72248
34788,Không phải bồi thường thiệt hại về khả năng gây mất an toàn của sản phẩm?,1,1,34788
51990,Trung tâm Khoa học và Bồi dưỡng cán bộ có quyền hạn gì trong công tác quản lý và tổ chức thực hiện hoạt động khoa học công nghệ?,1,1,51990
8980,"Cơ sở dữ liệu quốc gia về xuất cảnh, nhập cảnh của công dân Việt Nam do cơ quan nào trực tiếp quản lý?",1,1,8980
6934,Biện pháp chung để thực hiện dân chủ về kinh tế đời sống của Hội đồng quân nhân như thế nào?,1,1,6934
159164,"Có thể cấp giấy phép môi trường cho từng giai đoạn, công trình hay không?",1,1,159164
126402,Quy trình tiếp nhận và xử lý phản ánh của người dân trên nền tảng quản lý tiêm chủng COVID-19,1,1,126402
125414,Tổ chức ngoài trời lễ kỷ niệm ngày truyền thống của cơ quan nhà nước cấp tỉnh được trang trí như thế nào? ,1,1,125414
77724,Tiêu chuẩn để tập thể được xét tặng Bằng khen của Bộ trưởng Bộ Khoa học và Công nghệ là gì?,1,1,77724
113332,Để dự thi chứng chỉ kiểm toán viên cần thời gian công tác thực tế về kiểm toán cần ít nhất bao lâu?,1,1,113332
45194,Thủ tục cấp bản sao tài liệu lưu trữ được thực hiện ra sao?,1,1,45194
68730,Nhiệm vụ và quyền hạn của Ban Chấp hành Hiệp hội Điều Việt Nam được quy định thế nào?,1,1,68730
59610,Gây tiếng ồn từ bao nhiêu dBA thì sẽ vi phạm pháp luật về quy định tiếng ồn?,1,1,59610
138840,Khấu trừ tiền trong tài khoản có phải là biện pháp cưỡng chế thi hành án dân sự không?,1,1,138840
69706,"Nguyên tắc cung cấp, đăng tải thông tin, lựa chọn nhà đầu tư qua mạng đấu thầu được quy định như thế nào?",1,1,69706
96112,Trách nhiệm của thí sinh tham dự thi kiểm tra kết quả tập sự hành nghề luật sư như thế nào?,1,1,96112
