qid_a,qid_b,embedding_cosine,lexical_cosine,same_strict_text,same_punctuation_text,same_accent_text,gold_overlap_count,gold_jaccard,question_a,question_b
58344,96298,1.000000238418579,1.0,1,1,1,1,0.5,Người có quyền yêu cầu hủy việc kết hôn trái pháp luật là ai?,Người có quyền yêu cầu hủy việc kết hôn trái pháp luật là ai?
63562,17306,1.000000238418579,1.0,1,1,1,1,1.0,TPHCM đề xuất tăng gấp đôi mức phạt tiền trong Nghị định 100/2019/NĐ-CP đối với các hành vi vi phạm giao thông đường bộ?,TPHCM đề xuất tăng gấp đôi mức phạt tiền trong Nghị định 100/2019/NĐ-CP đối với các hành vi vi phạm giao thông đường bộ?
77610,149338,1.0000001192092896,0.9999999403953552,1,1,1,0,0.0,Tham nhũng là gì?,Tham nhũng là gì?
118362,40204,1.0,1.0,1,1,1,1,1.0,Nhà ở xã hội là gì?,Nhà ở xã hội là gì?
139536,55722,1.0,1.0,1,1,1,1,1.0,"Quy trình, thủ tục chuyển người bệnh từ cơ sở cấp phát thuốc Methadone về cơ sở điều trị Methadone quy định như thế nào?","Quy trình, thủ tục chuyển người bệnh từ cơ sở cấp phát thuốc Methadone về cơ sở điều trị Methadone quy định như thế nào?"
156654,19394,1.0,1.0,1,1,1,0,0.0,Mức hưởng bảo hiểm xã hội một lần được quy định như thế nào?,Mức hưởng bảo hiểm xã hội một lần được quy định như thế nào?
27382,4466,1.0,1.0,1,1,1,0,0.0,Đối tượng nào được trang bị vũ khí quân dụng?,Đối tượng nào được trang bị vũ khí quân dụng?
53214,152104,1.0,1.0,1,1,1,1,1.0,Phổ biến phim là gì?,Phổ biến phim là gì?
128146,61406,0.9999999403953552,1.0,1,1,1,1,1.0,"Khu vực sơ chế, chế biến vị thuốc cổ truyền theo phương pháp cổ truyền được pháp luật quy định như thế nào?","Khu vực sơ chế, chế biến vị thuốc cổ truyền theo phương pháp cổ truyền được pháp luật quy định như thế nào?"
131930,122700,0.9999999403953552,1.0,1,1,1,1,1.0,Chức trách của kiểm toán viên cao cấp được pháp luật quy định như thế nào?,Chức trách của kiểm toán viên cao cấp được pháp luật quy định như thế nào?
95506,116298,0.9999998807907104,0.9999999403953552,1,1,1,1,1.0,Viên chức là gì?,Viên chức là gì?
100850,146300,0.9999977350234985,1.0,1,1,1,1,1.0,Dự án đầu tư là gì?,Dự án đầu tư là gì?
65158,156640,0.999996542930603,1.0,1,1,1,1,1.0,Quyền thành lập hộ kinh doanh và nghĩa vụ đăng ký hộ kinh doanh quy định như thế nào?,Quyền thành lập hộ kinh doanh và nghĩa vụ đăng ký hộ kinh doanh quy định như thế nào?
19874,143660,0.9999964833259583,1.0,1,1,1,1,1.0,"Nhiệm vụ của Cảnh sát giao thông trong tuần tra, kiểm soát được quy định như thế nào?","Nhiệm vụ của Cảnh sát giao thông trong tuần tra, kiểm soát được quy định như thế nào?"
133550,13366,0.9999963045120239,1.0000001192092896,1,1,1,2,1.0,Các trường hợp không được hưởng bảo hiểm y tế theo quy định pháp luật,Các trường hợp không được hưởng bảo hiểm y tế theo quy định pháp luật
82666,34130,0.9997884035110474,0.9879348278045654,0,0,0,1,1.0,Để trở thành thành viên Hội đồng thành viên của VINATABA cần đáp ứng điều kiện tiêu chuẩn gì?,Để trở thành thành viên Hội đồng thành viên của VINATABA cần đáp ứng điều kiện tiêu chuẩn nào?
159140,162564,0.9983361959457397,0.8866183161735535,0,0,0,1,1.0,Doanh nghiệp có thể tự xây dựng biểu mẫu sổ kế toán cho mình không?,Doanh nghiệp có thể tự xây dựng biểu mẫu sổ kế toán cho riêng mình hay không?
55346,85884,0.9982959032058716,0.9287528395652771,0,0,0,1,1.0,Nguyên tắc tham gia bảo hiểm cháy nổ bắt buộc được pháp luật quy định ra sao?,Nguyên tắc tham gia bảo hiểm cháy nổ bắt buộc được pháp luật quy định như thế nào?
114846,141262,0.9970507621765137,1.0,1,1,1,1,0.5,Nhiệm kỳ của Chánh án Tòa án nhân dân tối cao là bao lâu?,Nhiệm kỳ của Chánh án tòa án nhân dân tối cao là bao lâu?
13418,98520,0.9951145648956299,0.8738434314727783,0,0,0,1,0.5,Thời hiệu xử lý kỷ luật đảng viên được quy định như thế nào?,Thời hiệu xử lý kỷ luật đảng viên được quy định ra sao?
90242,156454,0.994370698928833,0.9406441450119019,0,0,0,1,1.0,Quy trình ra đề thi tốt nghiệp THPT được quy định như thế nào?,Quy trình ra đề thi tốt nghiệp THPT thế nào?
44360,155506,0.9915984869003296,0.7517184019088745,0,0,0,1,1.0,Giấy chứng nhận kết hôn có hiệu lực khi nào?,Giấy chứng nhận kết hôn có hiệu lực khi nào theo quy định của pháp luật?
103892,9476,0.9893061518669128,0.8870704770088196,0,0,0,0,0.0,Điều kiện được cấp chứng chỉ hành nghề hoạt động xây dựng như thế nào?,Điều kiện chung để được cấp chứng chỉ hành nghề hoạt động xây dựng được quy định như thế nào?
59748,146300,0.9884315729141235,0.5431308746337891,0,0,0,1,1.0,Thế nào là dự án đầu tư?,Dự án đầu tư là gì?
100850,59748,0.9884040951728821,0.5431308746337891,0,0,0,1,1.0,Dự án đầu tư là gì?,Thế nào là dự án đầu tư?
136676,151554,0.9881691336631775,0.7925031185150146,0,0,0,1,1.0,Pháp luật quy định gì về nguyên tắc bồi thường thiệt hại?,Nguyên tắc bồi thường thiệt hại quy định như thế nào?
102960,56328,0.9879280924797058,0.9076124429702759,0,0,0,0,0.0,Hồ sơ hưởng trợ cấp thất nghiệp bao gồm những gì?,Hồ sơ để hưởng trợ cấp thất nghiệp bao gồm những giấy tờ gì?
131782,79948,0.9823469519615173,0.6962908506393433,0,0,0,1,1.0,Xóa đăng ký tạm trú trong trường hợp nào?,Trường hợp nào sẽ xóa đăng ký tạm trú?
135320,140262,0.981681227684021,0.8595564961433411,0,0,0,0,0.0,Tinh giản biên chế được thực hiện theo nguyên tắc nào?,Nguyên tắc thực hiện tinh giản biên chế gồm những gì?
92908,46890,0.9811205863952637,0.8904467225074768,0,0,0,1,1.0,Tiêu chuẩn của Chánh án Tòa án nhân dân tối cao như thế nào?,Chánh án Tòa án nhân dân tối cao phải đáp ứng các tiêu chuẩn như thế nào?
82930,151542,0.9805960059165955,0.940422534942627,0,0,0,0,0.0,Thời gian nộp hồ sơ hưởng trợ cấp thất nghiệp là khi nào?,Thời gian nộp hồ sơ đề nghị hưởng trợ cấp thất nghiệp là khi nào?
133550,80480,0.9792000651359558,0.6775959134101868,0,0,0,1,0.5,Các trường hợp không được hưởng bảo hiểm y tế theo quy định pháp luật,Các trường hợp nào thì không được hưởng bảo hiểm y tế?
80480,13366,0.9791951775550842,0.6775959134101868,0,0,0,1,0.5,Các trường hợp nào thì không được hưởng bảo hiểm y tế?,Các trường hợp không được hưởng bảo hiểm y tế theo quy định pháp luật
167268,113570,0.9791198372840881,0.8150827288627625,0,0,0,1,0.5,Nhiệm vụ của Cảnh sát môi trường là gì?,Cảnh sát môi trường có những nhiệm vụ và quyền hạn gì?
143764,115436,0.9770714640617371,0.8834627270698547,0,0,0,1,1.0,Nhiệm vụ của Hội Nuôi dưỡng đường tĩnh mạch và đường tiêu hóa Việt Nam là gì?,Nguyên tắc hoạt động của Hội Nuôi dưỡng đường tĩnh mạch và đường tiêu hóa Việt Nam là gì?
105904,7920,0.9770151376724243,0.45913243293762207,0,0,0,1,1.0,Ly hôn là gì?,Thế nào là ly hôn?
43542,66336,0.976801872253418,0.8043076395988464,0,0,0,1,1.0,"Khi hoạt động báo chí tại cơ quan thuộc Bộ Quốc phòng, phóng viên nước ngoài thường trú tại Việt Nam phải mang theo những gì?","Khi hoạt động báo chí tại cơ quan Quân đội, phóng viên nước ngoài không thường trú tại Việt Nam phải mang theo những gì?"
156654,43498,0.9761284589767456,0.6820487976074219,0,0,0,0,0.0,Mức hưởng bảo hiểm xã hội một lần được quy định như thế nào?,Mức hưởng bảo hiểm xã hội 1 lần là bao nhiêu?
43498,19394,0.9761284589767456,0.6820487976074219,0,0,0,1,1.0,Mức hưởng bảo hiểm xã hội 1 lần là bao nhiêu?,Mức hưởng bảo hiểm xã hội một lần được quy định như thế nào?
