qid,question,answer_size,max_gold_frequency,nearest_embedding_cosine,nearest_qid,word_count
86666,Thời hạn cấp đăng ký xe máy của người nước ngoài làm việc tại Việt Nam là bao lâu?,1,12,0.699906587600708,134272,19
145746,Để ban hành quyết định thanh tra chuyên ngành về đóng bảo hiểm xã hội cần thu thập thông tin như thế nào?,1,3,0.8183029890060425,100560,23
138580,Kiểm toán tính hiệu lực khi thực hiện kiểm toán Chương trình mục tiêu Quốc gia có những sai sót và gian lận thường gặp nào?,1,2,0.5293734073638916,20576,26
5726,"Năm 2023, người lao động có bao nhiêu ngày nghỉ lễ, tết?",1,108,0.7974801063537598,100770,12
79386,"Những tình tiết giảm nhẹ, tăng nặng mức kỷ luật đảng ra sao?",1,2,0.7440682649612427,98520,13
61600,Tần suất thử nghiệm định kỳ các thông số chất lượng nước sạch sử dụng cho mục đích sinh hoạt nhóm A như thế nào?,1,1,0.5589125156402588,150938,25
46440,Công chức cấp huyện được bổ nhiệm giữ chức vụ lãnh đạo cần đáp ứng yêu cầu gì về độ tuổi?,1,19,0.637127697467804,152420,21
44926,Đối tượng nào được áp dụng quy định về hợp đồng đối với một số công việc lao động cơ quan nhà nước?,1,4,0.7024489045143127,10978,23
83864,Người khiếu nại các hành vi của người tiến hành tố tụng có quyền và nghĩa vụ gì?,1,45,0.5561471581459045,74398,18
128440,Tất cả các dự án do nhà đầu tư đề xuất được phê duyệt bắt buộc phải công bố thông tin theo quy định đúng không?,1,10,0.506733238697052,89396,26
155554,Trình tự xây dựng quy hoạch đất làm muối được pháp luật quy định như thế nào?,1,2,0.5974091291427612,7578,17
39562,Ai có quyền cấp Giấy chứng nhận đăng ký chương trình dự án tài chính vi mô?,1,2,0.6603536009788513,4888,17
149166,Lệ phí làm căn cước công dân,2,2,0.7403929233551025,68712,7
163928,Việc bãi nhiệm đại biểu Quốc hội được thông qua khi nào?,1,2,0.5373305678367615,31884,12
161842,Sửa đổi hợp đồng lao động được quy định như thế nào?,1,108,0.7045828104019165,155412,12
30006,Hồ sơ đề nghị thanh lý tài sản kết cấu hạ tầng cấp nước sạch cần những giấy tờ gì?,1,3,0.7768784761428833,144672,20
63126,Tập thông báo tin tức hàng không được viết tắt như thế nào?,1,7,0.4965522885322571,109814,13
165188,Trả thưởng biến đổi được Công ty Xổ số kiến thiết Thủ Đô áp dụng cho loại hình sản phẩm nào?,1,3,0.48429298400878906,16258,21
151910,Hạn chót nộp hồ sơ dự tuyển là khi nào? Nộp hồ sơ dự tuyển tại đâu?,1,1,0.5893682837486267,31586,17
5948,Người chưa giải quyết xong tranh chấp đất đai có bị tạm hoãn xuất cảnh không?,1,12,0.615084707736969,1926,16
159692,"Thang lương, bảng lương và phụ cấp lương là bao nhiêu?",1,1,0.6380754709243774,60842,11
69038,"Các bộ, ngành trong việc phối hợp kết nối, chia sẻ thông tin, dữ liệu giữa các cơ sở dữ liệu tài nguyên và môi trường có trách nhiệm gì?",1,4,0.8796229958534241,3500,30
21950,"Mức thu, tỷ lệ trích phí thẩm định hồ sơ cấp giấy chứng nhận quyền sử dụng đất trên địa bàn tỉnh Thái Nguyên là bao nhiều?",1,1,0.5826758146286011,155072,27
122170,Thời gian đánh giá hồ sơ dự thầu tối đa là bao nhiêu ngày?,1,14,0.6244351863861084,15536,14
146164,"Văn phòng Bộ thuộc Bộ Tư pháp có nhiệm vụ và quyền hạn gì về công tác truyền thông và quản lý báo chí, xuất bản?",1,1,0.7237035632133484,105416,26
45572,Sĩ quan phạm tội bỏ vị trí chiến đấu đã chấp hành xong hình phạt tù thì đương nhiên được xóa án tích khi nào?,1,109,0.6544565558433533,96708,25
51110,Thủ tục tiến hành chấm phúc khảo trong kỳ thi tốt nghiệp THPT năm 2023 được thực hiện như thế nào?,1,15,0.7237548828125,133468,21
63534,Cơ quan nào có thẩm quyền thực hiện việc xét nghiệm chất ma túy trong cơ thể của người sử dụng trái phép chất ma túy trong thời hạn quản lý?,1,7,0.6176519989967346,146332,31
90690,Có được giữ quốc tịch nước ngoài khi trở lại quốc tịch Việt Nam không?,1,4,0.9168956279754639,146752,15
88192,Cấp đổi giấy phép kinh doanh lữ hành được quy định như thế nào?,1,18,0.8608105778694153,159444,14
107742,Người giám định tư pháp xây dựng theo vụ việc phải đáp ứng các điều kiện tiêu chuẩn thế nào?,1,1,0.801923394203186,37574,20
142494,Nơi khám chữa bệnh ban đầu ở tuyến trung ương nhưng xuống bệnh viện tuyến tỉnh để khám chữa bệnh là trái tuyến hay đúng tuyến?,1,1,0.7838847637176514,134050,26
41736,Tiêu chí chung về kết quả thực hiện chức trách nhiệm vụ được giao để đánh giá xếp loại chất lượng viên chức quản lý thuộc Ủy ban Dân tộc gồm những gì?,1,2,0.6597764492034912,66300,33
117242,"Giám sát, điều phối giao thông hàng hải hạng 4 có bắt buộc phải có bằng đại học hay không?",1,2,0.6269814372062683,157974,20
34146,Phụ cấp độc hại nguy hiểm đối với cán bộ công chức được quy định như thế nào?,1,3,0.7758998870849609,79922,18
76922,Có phải chỉ khởi tố vụ án hình sự theo yêu cầu của bị hại về tội cưỡng dâm hay không?,2,109,0.8378645181655884,98736,21
8384,"Việc đẩy mạnh cải cách hành chính, chuyển đổi số trong quản lý nhà nước về đất đai được cụ thể như thế nào?",1,1,0.5351880192756653,107266,24
96040,Tên tuyến đường sắt quốc gia được đặt như thế nào?,1,3,0.5542945265769958,154404,11
153714,Mức lương của giảng viên cao cấp (tiến sỹ) hiện nay là bao nhiêu?,1,12,0.6559582352638245,161032,14
13192,Có quy định nào bắt buộc chi nhánh ngân hàng hợp tác xã phải khai trương hoạt động ngay sau khi thành lập hay không?,1,2,0.7018126845359802,49930,25
30148,Hồ sơ hải quan đối với hàng hóa tạm nhập tái xuất cần chuẩn bị những giấy tờ gì?,1,8,0.7170844078063965,1274,19
32282,Việc chẩn đoán bệnh giun xoắn ở lợn bằng phương pháp ép cơ thì cần thực hiện ra sao?,1,2,0.7155232429504395,132466,19
151652,Mức truy cứu trách nhiệm hình sự đối với người phát tán trái phép chất phóng xạ làm chết 03 người được quy định thế nào?,1,109,0.6465157270431519,150402,26
34440,Có những loại hợp đồng bảo hiểm nào được giao kết giữa doanh nghiệp bảo hiểm và người mua bảo hiểm?,2,14,0.6811358332633972,27338,21
158586,"Kinh doanh hạt điều, các sản phẩm chế biến từ hạt điều có phải làm thủ tục công bố sản phẩm?",1,13,0.5748253464698792,37206,21
135022,Cơ sở trợ giúp xã hội phải có trách nhiệm khắc phục hậu quả như thế nào khi cấp vật dụng sinh hoạt hằng ngày không đảm bảo chất lượng?,1,9,0.5738887190818787,8246,30
49730,Thủ tục xin chuyển trường trung học phổ thông được quy định như thế nào?,1,2,0.5504780411720276,92974,15
16392,Doanh nghiệp cung ứng dịch vụ bưu chính thay đổi người đại diện theo pháp luật có cần phải thông báo đến cơ quan có thẩm quyền không?,1,5,0.6404296159744263,163498,28
57174,Kế hoạch kiểm toán nội bộ hằng năm phải được gửi cho Ngân hàng Nhà nước trong khoảng thời gian nào?,1,2,0.7478882074356079,112186,21
134928,Cơ quan nào có trách nhiệm trong việc lựa chọn đồ chơi cho trẻ được sử dụng trong các cơ sở giáo dục mầm non?,1,1,0.5305033326148987,18556,25
123750,Kiểm toán viên cao cấp phải đáp ứng yêu cầu gì về năng lực chuyên môn nghiệp vụ?,3,6,0.8009436130523682,131930,18
14858,Cam đoan không đúng về tình trạng hôn nhân để làm thủ tục cấp giấy xác nhận tình trạng hôn nhân sẽ bị xử lý như thế nào?,1,19,0.7802327275276184,91194,28
143202,Mẫu phiếu công tác chính thức ngoài nước cho Đảng viên mới nhất 2022?,1,2,0.9442026019096375,111406,14
154226,Nội dung hoạt động của các điểm cung cấp dịch vụ thông tin công cộng phục vụ nhân dân các xã có điều kiện kinh tế - xã hội đặc biệt khó khăn được quy định thế nào?,1,3,0.6447574496269226,65390,38
86136,Có hình xăm con rắn ở lưng thì có tham gia nghĩa vụ quân sự được không?,1,15,0.4771871566772461,134964,17
35728,Thủ tục giải quyết cho người nước ngoài thường trú tại Việt Nam thực hiện như thế nào?,1,13,0.7109946012496948,25076,18
29526,Điều kiện thực hiện thủ tục bổ sung thông tin trong hồ sơ đăng ký doanh nghiệp?,1,1,0.565298318862915,118864,17
73662,Nhiệm vụ và quyền hạn của hiệu trưởng cơ sở giáo dục đại học được quy định như thế nào?,1,8,0.9577457308769226,31760,20
16264,Thương nhân nước ngoài không có hiện diện tại Việt Nam thực hiện hoạt động nhập khẩu trong phạm vi nào?,1,1,0.7605339288711548,14882,21
80608,Thành viên môi giới được chấp thuận tư cách thành viên khi đáp ứng điều kiện gì?,1,2,0.5598189234733582,38266,17
76952,Giấy phép xây dựng gồm những loại nào?,1,26,0.9585767984390259,17308,8
121868,"Cơ quan, tổ chức sử dụng dịch vụ mạng truyền số liệu chuyên dùng có quyền và trách nhiệm như thế nào?",2,2,0.44486066699028015,97292,22
32562,"Nội dung đánh giá, xếp loại cán bộ đoàn thanh tra ngành Tài chính ở mức chưa hoàn thành nhiệm vụ được quy định như thế nào?",1,1,0.5717653632164001,138640,27
62148,"Điều kiện cấp hộ chiếu ngoại giao, hộ chiếu công vụ được quy định như thế nào?",1,12,0.8442443013191223,153658,17
13668,Trình tự thủ tục phát hành cổ phiếu trả cổ tức được thực hiện như thế nào?,1,22,0.8259491324424744,68140,17
32928,Muốn tìm hiểu thông tin về biện pháp bảo đảm thì thực hiện như thế nào?,1,4,0.5709009766578674,70160,16
65580,"Thực hiện chính sách tinh giản biên chế với CB, CC, VC đến hết 31/12/2030",1,8,0.7186932563781738,140262,15
168300,Nội dung quản lý đất dành cho đường sắt được quy định ra sao?,1,3,0.5410763025283813,149100,14
74674,Dự kiến tháng 06/2023 sẽ hoàn thành Nghị định hướng dẫn Luật sửa đổi Luật Tần số vô tuyến điện 2022 đúng không?,1,1,0.49879130721092224,107260,23
134030,Quy định về khen thưởng của Hội Người mù Việt Nam như thế nào?,1,1,0.5522609949111938,29590,14
21238,Dự án quy hoạch sử dụng đất tại địa phương sẽ do cơ quan có thẩm quyền nào phê duyệt?,1,53,0.5441139340400696,46868,20
167524,Mức xử phạt đối với việc điều khiển xe không có gương bên trái?,1,64,0.734883725643158,98184,14
130302,Hội Kế toán địa chất Việt Nam có tư cách pháp nhân không?,1,2,0.9257380962371826,12470,13
147058,Xử phạt đối với ô tô vi phạm quy tắc giao thông về nhường đường tại nơi giao nhau là bao nhiêu?,1,64,0.6975550055503845,96658,22
49168,Nộp một trong những chứng từ chứng nhận hàng hóa xuất xứ có được hưởng ưu đãi thuế quan theo EVFTA không?,1,1,0.6555948257446289,150348,22
163810,Hàm lượng chì cho phép trong sữa bột dành cho trẻ em dưới 12 tháng tuổi là bao nhiêu?,1,1,0.7406783103942871,55372,19
97372,Thành viên Đoàn thanh tra chuyên ngành hải quan có phải lập biên bản khi giao trả hồ sơ tài liệu cho đối tượng thanh tra không?,1,6,0.6803920865058899,8302,27
110766,Chi phí dán thẻ thu phí điện tử không dừng như thế nào?,1,3,0.7311886548995972,74584,13
9980,Mẫu Tờ khai hải quan mới nhất 2023 là mẫu nào?,1,4,0.6279832720756531,37626,11
141284,Có thể xuất xăng dầu dự trữ quốc gia trong những trường hợp nào?,2,3,0.6874779462814331,19120,14
107682,Hồ sơ kỹ thuật trong hồ sơ đăng ký sản phẩm mới có khả năng gây mất an toàn cần có những giấy tờ gì?,1,1,0.5991483926773071,56806,25
138896,Biên phòng cửa khẩu cảng có được chia sẻ thông tin cá nhân của người làm thủ tục biên phòng điện tử cảng biển cho bên thứ ba không?,1,1,0.6436200141906738,94888,29
48768,Cảnh sát giao thông có quyền xử phạt hành vi mang xe đồ chơi ra đường gây ảnh hưởng đến giao thông hay không?,1,64,0.8182581663131714,70510,24
5576,Thời hạn cấp Giấy chứng nhận đủ điều kiện kinh doanh dịch vụ kế toán đối với Công ty hợp danh là bao lâu?,1,14,0.5303670167922974,81796,24
130286,Nhân viên phục vụ trên tàu biển Việt Nam gồm những ai?,1,1,0.6434731483459473,7584,12
88654,Cấp lại thẻ bảo hiểm y tế tốn bao nhiêu tiền?,3,24,0.7994744777679443,145888,11
67594,Tiêu chuẩn xét nâng bậc lương trước thời hạn đối với công chức cấp tỉnh do ai quy định?,1,4,0.8018038868904114,96500,19
96504,Thời hạn góp vốn điều lệ đối với thành viên liên hiệp hợp tác xã là bao lâu?,1,15,0.8015684485435486,141422,18
134262,Thủ tục nhận và xử lý đơn khởi kiện được quy định như thế nào?,1,45,0.6789510250091553,145274,15
72614,Người 15 tuổi sử dụng trái phép chất ma túy trong thời gian cai nghiện ma túy tự nguyện thì bị xử lý như thế nào?,1,5,0.8070284128189087,14136,26
125532,"Tiếng nói, chữ viết dùng trước Tòa án nhân dân có bắt buộc phải là tiếng Việt theo quy định không?",1,17,0.5336109399795532,116846,21
76818,Khi vay từ nguồn vốn của Quỹ Phát triển khoa học và công nghệ Quốc gia sẽ có chế độ thông tin và lưu trữ hồ sơ như thế nào?,1,1,0.5305412411689758,87320,30
