qid,question,archetype,word_count,active_cues,source_disagreement_at5,source_top5_union_size,ce_margin5_minus6,ce_score_std,rank_to_primary_set_churn,entering,leaving,rank_only_top5,blend015_top5,primary_top5,ce_only_top5,primary_top5_names,primary_support5,primary_support10,primary_support20
93354,"Nhiệm vụ 2: Hoàn thiện thể chế, chính sách",GENERAL_SEMANTIC,9,,0.9343915343915343,23,0.1669921875,3.567803144454956,1,146050,3042,110662|69296|201234|47948|3042,110662|69296|47948|201234|296309,110662|69296|47948|201234|146050,98867|282579|79407|112166|146050,Nghi-quyet-76-NQ-CP-2021-Chuong-trinh-tong-the-cai-cach-hanh-chinh-nha-nuoc-2021-2030-481235 || Nghi-quyet-04-NQ-CP-2022-day-manh-phan-cap-trong-quan-ly-Nha-nuoc-500132 || Ke-hoach-81-KH-UBTVQH15-2021-thuc-hien-Ket-luan-19-KL-TW-495763 || Nghi-quyet-27-NQ-TW-2022-tiep-tuc-xay-dung-Nha-nuoc-phap-quyen-xa-hoi-chu-nghia-giai-doan-moi-541092 || Nghi-quyet-01-NQ-CP-2023-nhiem-vu-giai-phap-chu-yeu-thuc-hien-Ke-hoach-phat-trien-kinh-te-xa-hoi-549,3|2|1|0|0,4|4|3|1|1,5|5|4|4|4
126410,"Các bộ, cơ quan ngang bộ, cơ quan thuộc chính phủ phải thực hiện các nội dung để triển khai Nghị định 44/2022/NĐ-CP như thế nào? ",DIRECT_REF,29,INSTRUMENT,0.9195767195767196,22,0.29296875,3.1402676105499268,0,,,53316|119090|110662|125251|144122,144122|53316|119090|125251|110662,144122|53316|119090|125251|110662,144122|226904|253667|96838|55018, || Nghi-quyet-74-NQ-CP-2023-phien-hop-Chinh-phu-thuong-ky-thang-4-565541 || Nghi-quyet-63-NQ-CP-2022-phien-hop-Chinh-phu-thuong-ky-thang-4-512643 || Nghi-dinh-61-2018-ND-CP-co-che-mot-cua-mot-cua-lien-thong-trong-giai-quyet-thu-tuc-hanh-chinh-357427 || Nghi-quyet-76-NQ-CP-2021-Chuong-trinh-tong-the-cai-cach-hanh-chinh-nha-nuoc-2021-2030-481235,2|1|1|2|2,2|2|2|3|2,2|3|3|5|5
14470,Bảng kê trích nộp các khoản theo lương của người lao động được quy định như thế nào?,GENERAL_SEMANTIC,18,,0.8973544973544973,21,0.22265625,1.9153035879135132,1,42223,179075,289397|87275|129823|17028|179075,87275|289397|17028|129823|42223,87275|289397|17028|129823|42223,87275|289726|126202|165807|55355,Thong-tu-88-2021-TT-BTC-huong-dan-che-do-ke-toan-cho-cac-ho-kinh-doanh-491591 || Thong-tu-10-2020-TT-BLDTBXH-huong-dan-Bo-luat-Lao-dong-noi-dung-hop-dong-lao-dong-454406 || Thong-tu-25-2018-TT-BTC-huong-dan-Nghi-dinh-146-2017-ND-CP-sua-doi-Nghi-dinh-100-2016-ND-CP-372596 || Bo-Luat-lao-dong-2019-333670 || Thong-tu-200-2014-TT-BTC-huong-dan-Che-do-ke-toan-Doanh-nghiep-263599,2|2|2|3|1,3|2|2|4|5,4|3|2|5|6
70518,Xử lý vi phạm hành chính đối với hành vi này như thế nào?,GENERAL_SEMANTIC,14,,0.8899470899470899,21,0.212890625,1.4326162338256836,1,202555,219419,81400|17545|69484|219419|163290,81400|17545|69484|202555|163290,81400|17545|163290|202555|69484,202555|36459|125585|89814|163290,Nghi-dinh-155-2016-ND-CP-quy-dinh-xu-phat-vi-pham-hanh-chinh-trong-linh-vuc-bao-ve-moi-truong-331295 || Luat-xu-ly-vi-pham-hanh-chinh-2012-142766 || Nghi-dinh-19-2020-ND-CP-kiem-tra-xu-ly-ky-luat-trong-thi-hanh-phap-luat-ve-xu-ly-vi-pham-hanh-chinh- || Quyet-dinh-1489-QD-BGDDT-2023-cong-tac-kiem-tra-cua-Bo-Giao-duc-568236 || Nghi-dinh-98-2020-ND-CP-xu-phat-vi-pham-hanh-chinh-hoat-dong-san-xuat-buon-ban-hang-gia-406627,2|1|3|2|2,2|3|3|2|2,2|4|3|2|2
66174,"Hồ sơ, trình tự thực hiện như thế nào?",PROCEDURE,9,,0.8888888888888888,21,0.25390625,2.316925048828125,1,195612,264448,108356|266493|55778|264448|165017,108356|266493|55778|165017|195612,55778|108356|266493|165017|195612,60011|184715|195612|179734|261464,Thong-tu-lien-tich-11-2015-TTLT-BVHTTDL-BTC-BGDDT-uu-dai-sinh-vien-nghe-thuat-truyen-thong-dac-thu-2 || Nghi-dinh-107-2016-ND-CP-quy-dinh-kinh-doanh-dich-vu-danh-gia-su-phu-hop-2016-315460 || Quyet-dinh-42-2014-QD-UBND-Quy-dinh-quan-ly-nha-nuoc-dat-dai-Da-Nang-261099 || Thong-tu-03-2022-TT-BTP-danh-gia-tac-dong-thu-tuc-hanh-chinh-lap-de-nghi-xay-dung-van-ban-504451 || ,2|1|1|1|2,2|2|1|1|2,2|2|2|1|3
108220,"Thời gian thực hiện điều tra công nghiệp, xây dựng, thương mại, dịch vụ và vốn đầu tư ra sao?",GENERAL_SEMANTIC,20,,0.8862433862433863,21,0.16796875,3.2024519443511963,0,,,133935|70119|186899|228779|60993,70119|133935|60993|186899|228779,70119|133935|60993|186899|228779,70119|133935|60993|295644|173016,Quyet-dinh-03-2023-QD-TTg-Chuong-trinh-dieu-tra-thong-ke-quoc-gia-554853 || Thong-tu-23-2016-TT-BTTTT-dieu-tra-san-luong-gia-cuoc-binh-quan-dich-vu-buu-chinh-cong-ich-bao-chi-3 || Nghi-dinh-10-2018-ND-CP-huong-dan-Luat-Quan-ly-ngoai-thuong-bien-phap-phong-ve-thuong-mai-359554 || Quyet-dinh-911-QD-BNV-2020-Quy-che-quan-ly-hoat-dong-khoa-hoc-va-cong-nghe-456605 || Luat-Quan-ly-ngoai-thuong-2017-322219,2|3|3|2|3,3|5|4|3|5,3|5|5|3|5
33026,Nguồn thu của Hội Cổ sinh Địa tầng Việt Nam được quy định thế nào?,GENERAL_SEMANTIC,15,,0.8777777777777778,21,0.08203125,4.1270551681518555,0,,,73487|52784|215025|16756|47006,52784|47006|215025|73487|16756,73487|52784|47006|215025|16756,47006|92156|60889|103264|190477,Quyet-dinh-120-2005-QD-BNV-Dieu-le-Hoi-Co-sinh-Dia-tang-Viet-Nam-6109 || Quyet-dinh-07-2003-QD-BNV-Dieu-le-Hoi-Y-te-cong-cong-Viet-Nam-184346 || Quyet-dinh-121-2005-QD-BNV-Dieu-le-Hoi-Khoang-Thach-hoc-Viet-Nam-6179 || Quyet-dinh-122-2005-QD-BNV-Dieu-le-Hoi-Dia-hoa-Viet-Nam-6180 || Quyet-dinh-892-QD-BNV-nam-2012-phe-duyet-Dieu-le-sua-doi-bo-sung-Hoi-Khoa-hoc-172106,3|1|1|1|3,3|1|1|2|3,6|3|4|4|4
66608,Chồng ở trong tù làm thế nào để trả nợ?,GENERAL_SEMANTIC,10,,0.8777777777777778,21,0.765625,0.7380552291870117,1,176583|177925,132797|229023,81598|134404|102434|132797|229023,81598|134404|102434|132797|2948,81598|176583|134404|177925|102434,176583|177925|131581|81598|2948,Bo-luat-dan-su-2015-296215 || Thong-tu-lien-tich-01-2016-TTLT-TANDTC-VKSNDTC-BTP-huong-dan-thi-hanh-Luat-hon-nhan-gia-dinh-293202 || Luat-Hon-nhan-va-gia-dinh-2014-238640 ||  || Bo-luat-to-tung-hinh-su-2015-296884,3|0|3|1|2,3|0|3|1|2,5|1|4|3|2
57420,Thời hạn giải quyết hồ sơ được quy định ra sao?,PROCEDURE,11,,0.8714285714285714,20,0.48974609375,2.6168861389160156,1,144566|130413,42224|165017,125251|49643|183078|42224|165017,125251|49643|183078|130413|165017,125251|183078|49643|144566|130413,144566|31839|130413|37580|183078,Nghi-dinh-61-2018-ND-CP-co-che-mot-cua-mot-cua-lien-thong-trong-giai-quyet-thu-tuc-hanh-chinh-357427 || Nghi-dinh-99-2022-ND-CP-dang-ky-bien-phap-bao-dam-542323 || Quyet-dinh-922-QD-BXD-2022-Quy-che-hoat-dong-He-thong-thong-tin-giai-quyet-thu-tuc-hanh-chinh-541916 || Nghi-dinh-136-2020-ND-CP-huong-dan-Luat-Phong-chay-va-chua-chay-458292 || Quyet-dinh-706-QD-BHXH-2023-Quy-trinh-giai-quyet-Dang-ky-khai-tu-Xoa-dang-ky-thuong-tru-Tro-cap-mai-,2|2|3|0|3,2|2|3|1|3,4|2|3|1|3
17964,Ủy viên của Ban Thường vụ Trung ương Hội Đông y Việt Nam không được vượt quá bao nhiêu người?,CONDITION,20,NEGATION,0.8685185185185185,21,0.2255859375,3.7466437816619873,1,88686|187554,54328|162157,3449|54328|188520|49115|162157,3449|188520|54328|49115|88686,3449|188520|88686|49115|187554,229637|289792|88686|25046|187554,Quyet-dinh-162-QD-BNV-2011-phe-duyet-Dieu-le-sua-doi-bo-sung-Hoi-Dong-y-Viet-Nam-301462 || Quyet-dinh-106-2005-QD-BNV-Dieu-le-Hoi-Moi-truong-giao-thong-van-tai-Viet-Nam-4606 || Quyet-dinh-20-2003-QD-BNV-Dieu-le-sua-doi-Hoi-Huu-nghi-Viet-Nam-Cu-Ba-184393 || Quyet-dinh-98-2005-QD-BNV-Dieu-le-Hoi-Khoa-hoc-ky-thuat-Cau-duong-Viet-Nam-21442 || Quyet-dinh-16-2003-QD-BNV-phe-duyet-ban-Dieu-le-sua-doi-Hoi-Huu-nghi-Viet-Han-184391,4|1|1|2|1,6|2|1|2|1,6|5|2|2|1
