qid,question,archetype,word_count,active_cues,source_disagreement_at5,source_top5_union_size,ce_margin5_minus6,ce_score_std,rank_to_primary_set_churn,entering,leaving,rank_only_top5,blend015_top5,primary_top5,ce_only_top5,primary_top5_names,primary_support5,primary_support10,primary_support20
44474,Thực hiện thông quan hàng hóa nhập khẩu phải kiểm tra chuyên ngành theo cơ chế một cửa quốc gia như thế nào?,GENERAL_SEMANTIC,23,,0.4018518518518519,9,1.46484375,3.838115930557251,0,,,200618|155884|292631|222640|253656,200618|292631|155884|222640|253656,200618|292631|155884|253656|222640,200618|292631|198183|34136|253656,Nghi-dinh-85-2019-ND-CP-thuc-hien-thu-tuc-hanh-chinh-theo-co-che-mot-cua-quoc-gia-ASEAN-428701 || Nghi-dinh-08-2015-ND-CP-thi-hanh-Luat-Hai-quan-ve-thu-tuc-kiem-tra-giam-sat-kiem-soat-hai-quan-26381 || Nghi-dinh-59-2018-ND-CP-sua-doi-08-2015-ND-CP-huong-dan-Luat-Hai-quan-thu-tuc-kiem-tra-hai-quan-3525 || Luat-Hai-quan-2014-238637 || Thong-tu-38-2015-TT-BTC-thu-tuc-hai-quan-thue-xuat-khau-nhap-khau-quan-ly-thue-hang-xuat-nhap-khau-2,5|5|4|6|5,6|6|6|6|5,6|6|6|6|6
77938,"Việc vận chuyển, giao, nhận tài liệu, vật chứa bí mật nhà nước được quy định như thế nào?",GENERAL_SEMANTIC,19,,0.4989417989417989,9,0.8515625,8.157832145690918,0,,,136664|35448|210883|146911|298075,136664|35448|210883|146911|298075,35448|136664|146911|210883|298075,136664|52552|35448|146911|210883,Thong-tu-104-2021-TT-BCA-bao-ve-bi-mat-nha-nuoc-trong-Cong-an-nhan-dan-338862 || Thong-tu-07-2020-TT-BKHDT-cong-tac-bao-ve-bi-mat-nha-nuoc-linh-vuc-ke-hoach-dau-tu-va-thong-ke-45744 || Quyet-dinh-1858-QD-BVHTTDL-2021-Quy-che-bao-ve-bi-mat-nha-nuoc-cua-Bo-Van-hoa-479878 || Luat-Bao-ve-bi-mat-nha-nuoc-2018-337064 || Quyet-dinh-1500-QD-BTC-2020-Quy-che-bao-ve-bi-mat-nha-nuoc-cua-Bo-Tai-chinh-455204,3|5|2|4|5,6|6|5|5|6,6|6|6|5|6
33616,Đi nghĩa vụ quân sự mà làm mất súng có thể ở tù hay không?,GENERAL_SEMANTIC,15,NEGATION,0.5902116402116402,12,0.015625,1.7107709646224976,0,,,245154|24778|147066|54776|43981,245154|24778|43981|147066|54776,245154|24778|43981|147066|54776,43981|110305|98892|245154|72534,Bo-luat-hinh-su-2015-296661 || Bo-Luat-hinh-su-1999-15-1999-QH10-46056 || Luat-sua-doi-Bo-luat-Hinh-su-2017-354053 || Bo-luat-Hinh-su-1985-17-LCT-HDNN7-37003 || Luat-nghia-vu-quan-su-2015-282383,6|5|2|5|2,6|6|5|6|5,6|6|6|6|5
49422,Tiêu chuẩn về trình độ đào tạo của giảng viên giáo dục nghề nghiệp chính (hạng II) là gì?,DEFINITION,19,INSTRUMENT,0.4296296296296298,10,0.3017578125,3.94895339012146,0,,,210717|16157|85808|124109|281004,85808|16157|210717|124109|281004,210717|85808|16157|124109|281004,85808|124109|16157|76950|35641,Thong-tu-03-2018-TT-BLDTBXH-tieu-chuan-chuc-danh-vien-chuc-chuyen-nganh-giao-duc-nghe-nghiep-385452 || Thong-tu-40-2020-TT-BGDDT-ma-so-nghe-nghiep-bo-nhiem-vien-chuc-giang-day-trong-co-so-cong-lap-456220 || Thong-tu-lien-tich-36-2014-TTLT-BGDDT-BNV-ma-so-tieu-chuan-chuc-danh-nghe-nghiep-vien-chuc-giang-day || Thong-tu-35-2020-TT-BGDDT-ma-so-tieu-chuan-chuc-danh-vien-chuc-giang-day-trong-truong-cao-dang-45491 || Thong-tu-31-2021-TT-BGDDT-xet-thang-hang-vien-chuc-giang-day-trong-truong-cao-dang-su-pham-494265,6|5|5|5|2,6|6|5|6|3,6|6|6|6|4
16594,Người sản xuất chế biến chè có cần phải được tập huấn kiến thức về vệ sinh an toàn thực phẩm hay không?,GENERAL_SEMANTIC,23,NEGATION,0.8177248677248677,17,1.05859375,3.240976095199585,0,,,37894|133021|232471|5163|204875,133021|37894|204875|232471|5163,133021|232471|204875|37894|5163,204875|110588|92057|5163|133021, || Quyet-dinh-1390-QD-BCT-2020-cau-hoi-kiem-tra-de-xac-nhan-da-tap-huan-ve-an-toan-thuc-pham-448394 || Nghi-dinh-155-2018-ND-CP-sua-doi-quy-dinh-lien-quan-den-dieu-kien-kinh-doanh-thuoc-Bo-Y-te-399829 || Thong-tu-51-2018-TT-BLDTBXH-yeu-cau-ve-nang-luc-ma-nguoi-hoc-phai-dat-duoc-sau-khi-tot-nghiep-422059 || ,4|3|4|3|2,5|3|4|5|3,6|5|5|5|3
30314,Sàn giao dịch bất động sản là gì? Các điều kiện cần thiết để thành lập sàn giao dịch bất động sản?,DEFINITION,22,,0.32698412698412704,8,2.298828125,4.078444004058838,1,148268,59149,298627|287560|223375|59149|168163,298627|287560|223375|168163|148268,287560|298627|223375|148268|168163,223375|287560|298627|148268|168163, || Thong-tu-11-2015-TT-BXD-cap-chung-chi-hanh-nghe-moi-gioi-bat-dong-san-thanh-lap-to-chuc-san-giao-dic || Luat-Kinh-doanh-bat-dong-san-2014-259722 || Thong-tu-28-2016-TT-BXD-sua-doi-10-2015-TT-BXD-11-2015-TT-BXD-02-2016-TT-BXD-nha-chung-cu-336496 || Nghi-dinh-02-2022-ND-CP-huong-dan-Luat-Kinh-doanh-bat-dong-san-2014-484653,5|6|6|1|5,6|6|6|3|6,6|6|6|6|6
77048,Văn phòng Trung ương Đảng có trách nhiệm quản lý trung tâm mạng thông tin diện rộng của Đảng thế nào?,GENERAL_SEMANTIC,21,,0.5470899470899472,12,0.765625,4.403274059295654,0,,,71886|3010|167102|49626|99233,71886|167102|3010|49626|99233,71886|167102|3010|49626|99233,71886|167102|49626|3010|253426,Quyet-dinh-273-QD-TW-quy-che-quan-ly-su-dung-bao-ve-mang-thong-tin-dien-rong-Dang-2015-307541 || Quyet-dinh-171-QD-TW-2019-chuc-nang-nhiem-vu-to-chuc-bo-may-cua-Van-phong-Trung-uong-Dang-406094 || Nghi-dinh-165-2017-ND-CP-quan-ly-su-dung-tai-san-tai-co-quan-Dang-Cong-san-Viet-Nam-363420 || Quyet-dinh-55-QD-BDVTW-quan-ly-van-hanh-khai-thac-an-toan-he-thong-thong-tin-chuyen-nganh-cong-tac-d || Quyet-dinh-34-QD-TW-2021-chuc-nang-nhiem-vu-cua-dang-uy-don-vi-su-nghiep-Trung-uong-492220,6|5|5|2|0,6|6|5|2|3,6|6|5|4|3
132310,Người đại diện theo pháp luật của công ty trách nhiệm hữu hạn một thành viên Quản lý tài sản của các tổ chức tín dụng Việt Nam là ai?,DIRECT_REF,30,INSTRUMENT,0.7510582010582011,14,0.390625,3.559946060180664,1,198374,251745,96272|26667|21398|251745|69835,96272|26667|21398|69835|251745,96272|26667|21398|69835|198374,96272|135528|69835|238891|211379,Quyet-dinh-952-QD-NHNN-2021-to-chuc-Cong-ty-Quan-ly-tai-san-cua-cac-to-chuc-tin-dung-Viet-Nam-476728 || Luat-cac-to-chuc-tin-dung-2010-108079 || Luat-Doanh-nghiep-so-59-2020-QH14-427301 || Luat-Doanh-nghiep-2005-60-2005-QH11-7019 || Luat-Doanh-nghiep-2014-259730,3|5|2|3|1,6|6|5|5|3,6|6|5|5|5
154962,Nghĩa vụ của cơ sở tôn giáo trong việc sử dụng đất do nhà nước giao quyền sử dụng là gì?,DEFINITION,21,,0.33333333333333337,10,0.11328125,3.5460736751556396,0,,,305455|184038|67945|59149|113741,305455|67945|184038|59149|113741,305455|67945|184038|59149|113741,67945|305455|113741|162307|44802,Luat-dat-dai-2013-215836 || Luat-Dat-dai-2003-13-2003-QH11-51685 ||  || Nghi-dinh-181-2004-ND-CP-thi-hanh-Luat-Dat-dai-52514 || Nghi-dinh-43-2014-ND-CP-huong-dan-thi-hanh-Luat-Dat-dai-230680,5|5|5|5|5,6|6|5|5|5,6|6|6|6|6
81198,"Điều kiện, thủ tục thành lập; điều kiện hoạt động giáo dục; sáp nhập, chia tách, đình chỉ hoạt động, giải thể trường tiểu học và các cơ sở giáo dục khác ra sao?",PROCEDURE,34,,0.5253968253968254,10,0.060546875,5.23555850982666,0,,,219768|179847|199759|22825|214784,219768|22825|179847|199759|214784,219768|22825|179847|199759|214784,219768|22825|179847|115631|199759,Thong-tu-28-2020-TT-BGDDT-ve-Dieu-le-Truong-tieu-hoc-282401 || Thong-tu-32-2020-TT-BGDDT-Dieu-le-truong-trung-hoc-co-so-truong-trung-hoc-pho-thong-443627 || Nghi-dinh-46-2017-ND-CP-quy-dinh-dieu-kien-dau-tu-hoat-dong-trong-linh-vuc-giao-duc-336219 || Luat-giao-duc-2019-367665 || Nghi-dinh-135-2018-ND-CP-sua-doi-Nghi-dinh-46-2017-ND-CP-dau-tu-trong-linh-vuc-giao-duc-315730,5|5|3|6|2,5|5|6|6|5,6|6|6|6|6
